branch	offspring	parent	same	Number of Events	branch_length	Events per million years
0	0	27	30	15	700	0.02142857142857143
1	8	42	46	31	500	0.062
2	28	54	104	80	250	0.32
3	80	10	92	126	100	1.26
4	0	1	0	0	50	0
5	0	0	2	1	30	0.03333333333333333
6	3	0	8	7	60	0.11666666666666667
7	2	1	8	6	90	0.06666666666666667
8	1	0	6	4	60	0.06666666666666667
9	3	1	10	8	60	0.13333333333333333
10	2	0	6	5	30	0.16666666666666666
11	1	0	4	3	27	0.1111111111111111
12	5	1	14	12	18	0.6666666666666666
13	2	1	10	7	12	0.5833333333333334
14	2	1	2	3	7	0.42857142857142855
15	2	0	0	2	6	0.3333333333333333
16	4	0	0	4	6	0.6666666666666666
