GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0007389	pattern specification process	31	1856	ENSG00000004975	DVL2
GO:0022604	regulation of cell morphogenesis	29	1856	ENSG00000004975	DVL2
GO:0050878	regulation of body fluid levels	27	2767	ENSG00000088256	GNA11
GO:0001501	skeletal system development	26	2767	ENSG00000088256	GNA11
GO:0003002	regionalization	25	1856	ENSG00000004975	DVL2
GO:0048568	embryonic organ development	25	1856	ENSG00000004975	DVL2
GO:0015711	organic anion transport	25	6583	ENSG00000197208	SLC22A4
GO:0060627	regulation of vesicle-mediated transport	24	5898	ENSG00000006451	RALA
GO:0048562	embryonic organ morphogenesis	23	1856	ENSG00000004975	DVL2
GO:0018209	peptidyl-serine modification	23	551	ENSG00000101200	AVP
GO:1901615	organic hydroxy compound metabolic process	23	6591	ENSG00000019549	SNAI2
GO:0050920	regulation of chemotaxis	22	1652	ENSG00000099977	DDT
GO:0050907	detection of chemical stimulus involved in sensory perception	22	2779	ENSG00000114349	GNAT1
GO:0030335	positive regulation of cell migration	22	6591	ENSG00000019549	SNAI2
GO:0051962	positive regulation of nervous system development	22	1856	ENSG00000004975	DVL2
GO:0018105	peptidyl-serine phosphorylation	21	551	ENSG00000101200	AVP
GO:0071902	positive regulation of protein serine/threonine kinase activity	21	5899	ENSG00000144118	RALB
GO:0070838	divalent metal ion transport	21	10368	ENSG00000006116	CACNG3
GO:0072511	divalent inorganic cation transport	21	10368	ENSG00000006116	CACNG3
GO:0016569	covalent chromatin modification	21	6591	ENSG00000019549	SNAI2
GO:0060485	mesenchyme development	20	6591	ENSG00000019549	SNAI2
GO:0070371	ERK1 and ERK2 cascade	20	1652	ENSG00000099977	DDT
GO:0010639	negative regulation of organelle organization	20	551	ENSG00000101200	AVP
GO:0006816	calcium ion transport	20	10368	ENSG00000006116	CACNG3
GO:0043588	skin development	20	6615	ENSG00000124216	SNAI1
GO:0016570	histone modification	20	6591	ENSG00000019549	SNAI2
GO:0007608	sensory perception of smell	20	8388	ENSG00000127780	OR1E2
GO:0007409	axonogenesis	20	5594	ENSG00000100030	MAPK1
GO:0051051	negative regulation of transport	20	5020	ENSG00000101405	OXT
GO:0072507	divalent inorganic cation homeostasis	20	5020	ENSG00000101405	OXT
GO:0061564	axon development	20	5594	ENSG00000100030	MAPK1
GO:0009952	anterior/posterior pattern specification	19	9096	ENSG00000112837	TBX18
GO:0090596	sensory organ morphogenesis	19	1856	ENSG00000004975	DVL2
GO:0007596	blood coagulation	19	2767	ENSG00000088256	GNA11
GO:0007599	hemostasis	19	2767	ENSG00000088256	GNA11
GO:0050817	coagulation	19	2767	ENSG00000088256	GNA11
GO:0043900	regulation of multi-organism process	19	5020	ENSG00000101405	OXT
GO:0060537	muscle tissue development	19	3670	ENSG00000016082	ISL1
GO:0051090	regulation of DNA binding transcription factor activity	19	1856	ENSG00000004975	DVL2
GO:0006874	cellular calcium ion homeostasis	19	5020	ENSG00000101405	OXT
GO:0050769	positive regulation of neurogenesis	19	1856	ENSG00000004975	DVL2
GO:0055074	calcium ion homeostasis	19	5020	ENSG00000101405	OXT
