GOID	Molecular function	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0005525	GTP binding	36	5898	ENSG00000006451	RALA
GO:0032550	purine ribonucleoside binding	36	5898	ENSG00000006451	RALA
GO:0001883	purine nucleoside binding	36	5898	ENSG00000006451	RALA
GO:0032549	ribonucleoside binding	36	5898	ENSG00000006451	RALA
GO:0001882	nucleoside binding	36	5898	ENSG00000006451	RALA
GO:0032561	guanyl ribonucleotide binding	36	5898	ENSG00000006451	RALA
GO:0019001	guanyl nucleotide binding	36	5898	ENSG00000006451	RALA
GO:0003924	GTPase activity	32	5898	ENSG00000006451	RALA
GO:0001664	G-protein coupled receptor binding	28	5898	ENSG00000006451	RALA
GO:0016887	ATPase activity	24	514	ENSG00000124172	ATP5F1E
GO:0004175	endopeptidase activity	22	23430	ENSG00000095917	TPSD1
GO:0048018	receptor ligand activity	21	5020	ENSG00000101405	OXT
GO:0046982	protein heterodimerization activity	20	1857	ENSG00000161202	DVL3
GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	19	6591	ENSG00000019549	SNAI2
GO:0046873	metal ion transmembrane transporter activity	19	10368	ENSG00000006116	CACNG3
GO:0048037	cofactor binding	19	5837	ENSG00000068976	PYGM
GO:0022804	active transmembrane transporter activity	18	6583	ENSG00000197208	SLC22A4
GO:0042623	ATPase activity, coupled	18	514	ENSG00000124172	ATP5F1E
GO:0005216	ion channel activity	18	10368	ENSG00000006116	CACNG3
GO:0004984	olfactory receptor activity	18	8388	ENSG00000127780	OR1E2
GO:0022838	substrate-specific channel activity	18	10368	ENSG00000006116	CACNG3
GO:0015267	channel activity	18	10368	ENSG00000006116	CACNG3
GO:0022803	passive transmembrane transporter activity	18	10368	ENSG00000006116	CACNG3
GO:0022839	ion gated channel activity	17	10368	ENSG00000006116	CACNG3
GO:0022836	gated channel activity	17	10368	ENSG00000006116	CACNG3
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	17	3670	ENSG00000016082	ISL1
GO:0000987	proximal promoter sequence-specific DNA binding	17	6913	ENSG00000092607	TBX15
GO:0031625	ubiquitin protein ligase binding	16	5898	ENSG00000006451	RALA
GO:0003713	transcription coactivator activity	16	3670	ENSG00000016082	ISL1
GO:0044389	ubiquitin-like protein ligase binding	16	5898	ENSG00000006451	RALA
GO:0008509	anion transmembrane transporter activity	16	6583	ENSG00000197208	SLC22A4
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	16	6913	ENSG00000092607	TBX15
GO:0042393	histone binding	14	5585	ENSG00000123143	PKN1
GO:0015291	secondary active transmembrane transporter activity	14	6583	ENSG00000197208	SLC22A4
GO:0004252	serine-type endopeptidase activity	13	23430	ENSG00000095917	TPSD1
GO:0008236	serine-type peptidase activity	13	23430	ENSG00000095917	TPSD1
GO:0017171	serine hydrolase activity	13	23430	ENSG00000095917	TPSD1
GO:0003779	actin binding	13	4619	ENSG00000109061	MYH1
GO:0004842	ubiquitin-protein transferase activity	13	997	ENSG00000099804	CDC34
GO:0019787	ubiquitin-like protein transferase activity	13	997	ENSG00000099804	CDC34
GO:0140030	modification-dependent protein binding	12	10498	ENSG00000142453	CARM1
GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	12	6913	ENSG00000092607	TBX15
GO:0003714	transcription corepressor activity	12	6913	ENSG00000092607	TBX15
GO:0030246	carbohydrate binding	12	5967	ENSG00000115386	REG1A
GO:0005261	cation channel activity	12	10368	ENSG00000006116	CACNG3
GO:0015077	monovalent inorganic cation transmembrane transporter activity	12	27109	ENSG00000125375	ATP5S
GO:0005200	structural constituent of cytoskeleton	11	3861	ENSG00000186847	KRT14
GO:0020037	heme binding	11	27102	ENSG00000086232	EIF2AK1
GO:0046906	tetrapyrrole binding	11	27102	ENSG00000086232	EIF2AK1
GO:0015276	ligand-gated ion channel activity	11	57030	ENSG00000104888	SLC17A7
GO:0022834	ligand-gated channel activity	11	57030	ENSG00000104888	SLC17A7
GO:0005244	voltage-gated ion channel activity	11	10368	ENSG00000006116	CACNG3
GO:0005516	calmodulin binding	11	4619	ENSG00000109061	MYH1
GO:0022832	voltage-gated channel activity	11	10368	ENSG00000006116	CACNG3
GO:0019887	protein kinase regulator activity	11	8850	ENSG00000114166	KAT2B
GO:0019207	kinase regulator activity	11	8850	ENSG00000114166	KAT2B
GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	11	6591	ENSG00000019549	SNAI2
GO:0016757	transferase activity, transferring glycosyl groups	11	5837	ENSG00000068976	PYGM
GO:0015631	tubulin binding	11	4619	ENSG00000109061	MYH1
GO:0060589	nucleoside-triphosphatase regulator activity	11	2776	ENSG00000156052	GNAQ
GO:0050839	cell adhesion molecule binding	11	7060	ENSG00000113296	THBS4
