GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0007389	pattern specification process	57	3207	ENSG00000005073	HOXA11
GO:0008544	epidermis development	52	3883	ENSG00000006059	KRT33A
GO:0043588	skin development	50	3883	ENSG00000006059	KRT33A
GO:0003002	regionalization	49	3207	ENSG00000005073	HOXA11
GO:0048568	embryonic organ development	49	3207	ENSG00000005073	HOXA11
GO:0009913	epidermal cell differentiation	46	3883	ENSG00000006059	KRT33A
GO:0030216	keratinocyte differentiation	45	3883	ENSG00000006059	KRT33A
GO:0050878	regulation of body fluid levels	44	2767	ENSG00000088256	GNA11
GO:0001501	skeletal system development	43	3207	ENSG00000005073	HOXA11
GO:0048562	embryonic organ morphogenesis	41	3207	ENSG00000005073	HOXA11
GO:0022604	regulation of cell morphogenesis	40	1856	ENSG00000004975	DVL2
GO:0031424	keratinization	39	3883	ENSG00000006059	KRT33A
GO:0007409	axonogenesis	38	10048	ENSG00000010017	RANBP9
GO:0061564	axon development	38	10048	ENSG00000010017	RANBP9
GO:0045165	cell fate commitment	36	3207	ENSG00000005073	HOXA11
GO:0060562	epithelial tube morphogenesis	36	3207	ENSG00000005073	HOXA11
GO:0051962	positive regulation of nervous system development	35	1856	ENSG00000004975	DVL2
GO:0009952	anterior/posterior pattern specification	34	3207	ENSG00000005073	HOXA11
GO:1901615	organic hydroxy compound metabolic process	34	6591	ENSG00000019549	SNAI2
GO:0070838	divalent metal ion transport	33	10368	ENSG00000006116	CACNG3
GO:0072511	divalent inorganic cation transport	33	10368	ENSG00000006116	CACNG3
GO:0072507	divalent inorganic cation homeostasis	33	5020	ENSG00000101405	OXT
GO:0030335	positive regulation of cell migration	33	6591	ENSG00000019549	SNAI2
GO:0050808	synapse organization	32	56133	ENSG00000112852	PCDHB2
GO:0018209	peptidyl-serine modification	32	5594	ENSG00000100030	MAPK1
GO:0006816	calcium ion transport	32	10368	ENSG00000006116	CACNG3
