GOID	Molecular function	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0032561	guanyl ribonucleotide binding	56	5898	ENSG00000006451	RALA
GO:0019001	guanyl nucleotide binding	56	5898	ENSG00000006451	RALA
GO:0005525	GTP binding	55	5898	ENSG00000006451	RALA
GO:0032550	purine ribonucleoside binding	55	5898	ENSG00000006451	RALA
GO:0001883	purine nucleoside binding	55	5898	ENSG00000006451	RALA
GO:0032549	ribonucleoside binding	55	5898	ENSG00000006451	RALA
GO:0001882	nucleoside binding	55	5898	ENSG00000006451	RALA
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	55	3670	ENSG00000016082	ISL1
GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	49	6591	ENSG00000019549	SNAI2
GO:0003924	GTPase activity	47	5898	ENSG00000006451	RALA
GO:0000987	proximal promoter sequence-specific DNA binding	41	6913	ENSG00000092607	TBX15
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	40	6913	ENSG00000092607	TBX15
GO:0046982	protein heterodimerization activity	37	6913	ENSG00000092607	TBX15
GO:0001664	G-protein coupled receptor binding	36	5898	ENSG00000006451	RALA
GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	35	3670	ENSG00000016082	ISL1
GO:0048037	cofactor binding	34	5837	ENSG00000068976	PYGM
GO:0005216	ion channel activity	32	10368	ENSG00000006116	CACNG3
GO:0022838	substrate-specific channel activity	32	10368	ENSG00000006116	CACNG3
GO:0015267	channel activity	32	10368	ENSG00000006116	CACNG3
GO:0022803	passive transmembrane transporter activity	32	10368	ENSG00000006116	CACNG3
GO:0048018	receptor ligand activity	32	5020	ENSG00000101405	OXT
GO:0016887	ATPase activity	30	51382	ENSG00000100554	ATP6V1D
GO:0004175	endopeptidase activity	29	23430	ENSG00000095917	TPSD1
GO:0046873	metal ion transmembrane transporter activity	28	10368	ENSG00000006116	CACNG3
GO:0003713	transcription coactivator activity	27	3670	ENSG00000016082	ISL1
GO:0022839	ion gated channel activity	25	10368	ENSG00000006116	CACNG3
GO:0022836	gated channel activity	25	10368	ENSG00000006116	CACNG3
GO:0005261	cation channel activity	23	10368	ENSG00000006116	CACNG3
GO:0042623	ATPase activity, coupled	23	51382	ENSG00000100554	ATP6V1D
