Biological Process	Number of genes
pattern specification process	31
regulation of cell morphogenesis	29
regulation of body fluid levels	27
skeletal system development	26
regionalization	25
embryonic organ development	25
organic anion transport	25
regulation of vesicle-mediated transport	24
embryonic organ morphogenesis	23
peptidyl-serine modification	23
organic hydroxy compound metabolic process	23
regulation of chemotaxis	22
detection of chemical stimulus involved in sensory perception	22
positive regulation of cell migration	22
positive regulation of nervous system development	22
peptidyl-serine phosphorylation	21
positive regulation of protein serine/threonine kinase activity	21
divalent metal ion transport	21
divalent inorganic cation transport	21
covalent chromatin modification	21
mesenchyme development	20
ERK1 and ERK2 cascade	20
negative regulation of organelle organization	20
calcium ion transport	20
skin development	20
histone modification	20
axonogenesis	20
negative regulation of transport	20
divalent inorganic cation homeostasis	20
axon development	20
sensory perception of smell	20
anterior/posterior pattern specification	19
sensory organ morphogenesis	19
blood coagulation	19
hemostasis	19
coagulation	19
regulation of multi-organism process	19
muscle tissue development	19
regulation of DNA binding transcription factor activity	19
cellular calcium ion homeostasis	19
positive regulation of neurogenesis	19
calcium ion homeostasis	19
cellular divalent inorganic cation homeostasis	19
epidermis development	19
Ras protein signal transduction	19
response to nutrient levels	19
response to extracellular stimulus	19
stem cell differentiation	18
epithelial tube morphogenesis	18
regulation of Wnt signaling pathway	18
regulation of binding	18
regulation of lipid metabolic process	18
striated muscle tissue development	18
gland development	18
regulation of neuron projection development	18
positive regulation of establishment of protein localization	18
regulation of GTPase activity	18
regulation of small molecule metabolic process	18
heart morphogenesis	17
cell chemotaxis	17
keratinocyte differentiation	17
canonical Wnt signaling pathway	17
cellular response to drug	17
extracellular matrix organization	17
second-messenger-mediated signaling	17
positive regulation of cell projection organization	17
epidermal cell differentiation	17
nucleotide biosynthetic process	17
ossification	17
nucleoside phosphate biosynthetic process	17
regulation of apoptotic signaling pathway	17
positive regulation of catabolic process	17
extracellular structure organization	17
positive regulation of cytokine production	17
regulation of ion transmembrane transport	17
regulation of hemopoiesis	17
leukocyte migration	17
cell growth	17
autophagy	17
process utilizing autophagic mechanism	17
peptidyl-threonine modification	16
protein acylation	16
axon guidance	16
neuron projection guidance	16
cell fate commitment	16
positive regulation of response to external stimulus	16
synapse organization	16
calcium ion transmembrane transport	16
protein-containing complex disassembly	16
mitochondrial transport	16
positive regulation of cellular catabolic process	16
modulation of chemical synaptic transmission	16
regulation of trans-synaptic signaling	16
transmembrane receptor protein serine/threonine kinase signaling pathway	16
positive regulation of cellular protein localization	16
fatty acid metabolic process	16
myeloid cell differentiation	16
regulation of DNA metabolic process	16
proteasome-mediated ubiquitin-dependent protein catabolic process	16
response to oxidative stress	16
proteasomal protein catabolic process	16
neutrophil degranulation	16
neutrophil activation involved in immune response	16
regulation of anatomical structure size	16
response to peptide	16
neutrophil activation	16
neutrophil mediated immunity	16
microtubule-based movement	16
drug transport	15
keratinization	15
regulation of heart contraction	15
anion transmembrane transport	15
regulation of cell morphogenesis involved in differentiation	15
