tissue	Number of genes
Testis	419
Pituitary	383
Brain - Cerebellum	370
Brain - Cerebellar Hemisphere	368
Nerve - Tibial	366
Prostate	365
Lung	364
Thyroid	364
Vagina	364
Fallopian Tube	363
Cervix - Endocervix	362
Uterus	359
Cervix - Ectocervix	356
Bladder	355
Breast - Mammary Tissue	355
Spleen	354
Adipose - Visceral (Omentum)	350
Brain - Hypothalamus	350
Skin - Sun Exposed (Lower leg)	350
Brain - Cortex	349
Skin - Not Sun Exposed (Suprapubic)	349
Artery - Tibial	348
Brain - Frontal Cortex (BA9)	348
Minor Salivary Gland	348
Ovary	348
Adipose - Subcutaneous	347
Artery - Coronary	347
Small Intestine - Terminal Ileum	347
Brain - Spinal cord (cervical c-1)	345
Artery - Aorta	344
Colon - Sigmoid	344
Esophagus - Mucosa	344
Brain - Nucleus accumbens (basal ganglia)	343
Esophagus - Gastroesophageal Junction	343
Esophagus - Muscularis	342
Colon - Transverse	340
Brain - Caudate (basal ganglia)	337
Stomach	336
Brain - Anterior cingulate cortex (BA24)	333
Brain - Amygdala	331
Brain - Substantia nigra	327
Brain - Hippocampus	326
Kidney - Cortex	326
Cells - Transformed fibroblasts	324
Heart - Atrial Appendage	324
Adrenal Gland	323
Brain - Putamen (basal ganglia)	318
Pancreas	305
Cells - EBV-transformed lymphocytes	298
Liver	295
Muscle - Skeletal	287
Heart - Left Ventricle	286
Whole Blood	261
