tissue	Number of genes
Testis	106
Pituitary	104
Thyroid	102
Breast - Mammary Tissue	100
Lung	100
Nerve - Tibial	100
Prostate	100
Vagina	100
Bladder	99
Fallopian Tube	99
Brain - Hypothalamus	98
Uterus	98
Adipose - Subcutaneous	97
Artery - Aorta	97
Brain - Frontal Cortex (BA9)	97
Cells - Transformed fibroblasts	97
Cervix - Ectocervix	97
Artery - Coronary	96
Brain - Cortex	96
Cervix - Endocervix	96
Minor Salivary Gland	96
Ovary	96
Skin - Not Sun Exposed (Suprapubic)	96
Adipose - Visceral (Omentum)	95
Artery - Tibial	95
Brain - Cerebellar Hemisphere	95
Brain - Cerebellum	95
Brain - Nucleus accumbens (basal ganglia)	95
Brain - Spinal cord (cervical c-1)	95
Colon - Sigmoid	95
Colon - Transverse	95
Kidney - Cortex	95
Skin - Sun Exposed (Lower leg)	95
Small Intestine - Terminal Ileum	95
Esophagus - Gastroesophageal Junction	94
Esophagus - Mucosa	94
Spleen	94
Esophagus - Muscularis	93
Brain - Amygdala	92
Brain - Anterior cingulate cortex (BA24)	92
Brain - Caudate (basal ganglia)	92
Brain - Substantia nigra	92
Heart - Atrial Appendage	92
Brain - Hippocampus	90
Pancreas	90
Stomach	90
Brain - Putamen (basal ganglia)	89
Adrenal Gland	87
Cells - EBV-transformed lymphocytes	84
Muscle - Skeletal	83
Liver	81
Heart - Left Ventricle	79
Whole Blood	64
