Biological Process	n
regulation of cell morphogenesis	11
pattern specification process	10
skeletal system development	10
forebrain development	9
positive regulation of nervous system development	9
embryonic organ development	8
embryonic organ morphogenesis	8
peptidyl-serine modification	8
peptidyl-serine phosphorylation	8
positive regulation of neurogenesis	8
regionalization	8
anterior/posterior pattern specification	7
cell fate commitment	7
connective tissue development	7
covalent chromatin modification	7
developmental maturation	7
divalent inorganic cation transport	7
divalent metal ion transport	7
epithelial tube morphogenesis	7
histone modification	7
positive regulation of cell projection organization	7
positive regulation of protein serine/threonine kinase activity	7
regulation of binding	7
regulation of cell shape	7
regulation of chemotaxis	7
regulation of developmental growth	7
regulation of neuron projection development	7
sensory organ morphogenesis	7
activation of protein kinase activity	6
calcium ion transport	6
cartilage development	6
central nervous system neuron differentiation	6
eye development	6
mesenchyme development	6
muscle tissue development	6
negative regulation of transport	6
organic anion transport	6
peptidyl-tyrosine modification	6
peptidyl-tyrosine phosphorylation	6
positive regulation of MAP kinase activity	6
Ras protein signal transduction	6
regulation of body fluid levels	6
regulation of cell morphogenesis involved in differentiation	6
regulation of lipid metabolic process	6
regulation of MAP kinase activity	6
striated muscle tissue development	6
synapse organization	6
telencephalon development	6
anatomical structure maturation	5
axon development	5
axon guidance	5
axonogenesis	5
blood coagulation	5
camera-type eye development	5
cardiac muscle tissue development	5
cardiocyte differentiation	5
cell chemotaxis	5
cell maturation	5
cellular process involved in reproduction in multicellular organism	5
circadian rhythm	5
coagulation	5
coenzyme metabolic process	5
cognition	5
ear development	5
extracellular matrix organization	5
extracellular structure organization	5
gland development	5
hemostasis	5
learning or memory	5
lung development	5
muscle cell differentiation	5
negative regulation of cell development	5
neuron projection guidance	5
organ growth	5
ossification	5
peptidyl-threonine modification	5
peptidyl-threonine phosphorylation	5
positive regulation of catabolic process	5
positive regulation of cell morphogenesis involved in differentiation	5
positive regulation of cellular catabolic process	5
positive regulation of cellular protein localization	5
positive regulation of neuron differentiation	5
positive regulation of neuron projection development	5
positive regulation of proteolysis	5
protein autophosphorylation	5
regulation of GTPase activity	5
regulation of membrane potential	5
regulation of organ morphogenesis	5
regulation of protein binding	5
regulation of synapse structure or activity	5
regulation of vesicle-mediated transport	5
respiratory system development	5
respiratory tube development	5
response to ammonium ion	5
response to extracellular stimulus	5
response to nutrient levels	5
rhythmic process	5
second-messenger-mediated signaling	5
skeletal system morphogenesis	5
activation of MAPK activity	4
aging	4
anion transmembrane transport	4
appendage development	4
autophagy	4
bone development	4
calcium ion transmembrane transport	4
cell fate specification	4
cellular response to drug	4
developmental growth involved in morphogenesis	4
divalent inorganic cation homeostasis	4
drug transport	4
ear morphogenesis	4
fatty acid metabolic process	4
kidney development	4
kidney morphogenesis	4
leukocyte migration	4
limb development	4
lipid modification	4
locomotory behavior	4
maintenance of cell number	4
meiotic cell cycle	4
mitochondrial transport	4
modulation of chemical synaptic transmission	4
muscle cell proliferation	4
muscle organ development	4
negative regulation of cellular amide metabolic process	4
negative regulation of cellular protein localization	4
negative regulation of nervous system development	4
negative regulation of neurogenesis	4
nephron development	4
nephron morphogenesis	4
nuclear division	4
nucleobase-containing small molecule biosynthetic process	4
nucleoside monophosphate metabolic process	4
nucleoside phosphate catabolic process	4
nucleoside triphosphate metabolic process	4
nucleotide catabolic process	4
organelle fission	4
organophosphate catabolic process	4
pallium development	4
phagocytosis	4
positive regulation of cell cycle	4
positive regulation of cell migration	4
positive regulation of establishment of protein localization	4
positive regulation of muscle organ development	4
positive regulation of muscle tissue development	4
positive regulation of protein transport	4
positive regulation of striated muscle tissue development	4
process utilizing autophagic mechanism	4
proteasomal protein catabolic process	4
proteasome-mediated ubiquitin-dependent protein catabolic process	4
protein acylation	4
protein localization to cell periphery	4
protein localization to plasma membrane	4
purine nucleoside monophosphate metabolic process	4
purine nucleoside triphosphate metabolic process	4
purine ribonucleoside monophosphate metabolic process	4
purine ribonucleoside triphosphate metabolic process	4
pyruvate metabolic process	4
regulation of autophagy	4
regulation of axon guidance	4
regulation of axonogenesis	4
regulation of DNA binding transcription factor activity	4
regulation of muscle organ development	4
regulation of muscle tissue development	4
regulation of protein localization to cell periphery	4
regulation of protein localization to membrane	4
regulation of protein localization to plasma membrane	4
regulation of small GTPase mediated signal transduction	4
regulation of striated muscle tissue development	4
regulation of synapse organization	4
regulation of synaptic plasticity	4
regulation of trans-synaptic signaling	4
renal system development	4
response to oxidative stress	4
response to peptide	4
response to peptide hormone	4
response to purine-containing compound	4
response to radiation	4
response to starvation	4
response to temperature stimulus	4
response to xenobiotic stimulus	4
Rho protein signal transduction	4
ribonucleoside monophosphate metabolic process	4
ribonucleoside triphosphate metabolic process	4
signal transduction by p53 class mediator	4
stem cell differentiation	4
stem cell population maintenance	4
stem cell proliferation	4
stress-activated protein kinase signaling cascade	4
striated muscle cell differentiation	4
urogenital system development	4
actomyosin structure organization	3
alcohol metabolic process	3
ameboidal-type cell migration	3
amino acid transmembrane transport	3
amino acid transport	3
anatomical structure homeostasis	3
animal organ formation	3
ATP metabolic process	3
axon extension	3
axon extension involved in axon guidance	3
B cell activation	3
bone morphogenesis	3
branching involved in ureteric bud morphogenesis	3
branching morphogenesis of an epithelial tube	3
calcium ion homeostasis	3
camera-type eye morphogenesis	3
cAMP-mediated signaling	3
canonical Wnt signaling pathway	3
carbohydrate derivative catabolic process	3
carbohydrate transmembrane transport	3
carbohydrate transport	3
carboxylic acid biosynthetic process	3
carboxylic acid transmembrane transport	3
carboxylic acid transport	3
cardiac muscle cell differentiation	3
cell growth	3
cellular amino acid metabolic process	3
cellular calcium ion homeostasis	3
cellular divalent inorganic cation homeostasis	3
cellular response to abiotic stimulus	3
cellular response to ammonium ion	3
cellular response to environmental stimulus	3
cellular response to external stimulus	3
cellular response to extracellular stimulus	3
cellular response to leukemia inhibitory factor	3
cellular response to nutrient levels	3
cellular response to peptide	3
cellular response to peptide hormone stimulus	3
cellular response to starvation	3
cellular response to tumor necrosis factor	3
central nervous system neuron development	3
chemical synaptic transmission, postsynaptic	3
chromatin remodeling	3
coenzyme biosynthetic process	3
cofactor biosynthetic process	3
cranial skeletal system development	3
cyclic-nucleotide-mediated signaling	3
dendrite development	3
determination of bilateral symmetry	3
determination of heart left/right asymmetry	3
determination of left/right symmetry	3
developmental cell growth	3
digestive system development	3
digestive tract development	3
DNA biosynthetic process	3
embryonic cranial skeleton morphogenesis	3
embryonic heart tube development	3
embryonic heart tube morphogenesis	3
embryonic skeletal system development	3
embryonic skeletal system morphogenesis	3
endochondral bone morphogenesis	3
endomembrane system organization	3
epithelial cell migration	3
epithelium migration	3
ERK1 and ERK2 cascade	3
eye morphogenesis	3
fat cell differentiation	3
forebrain generation of neurons	3
gene silencing	3
germ cell development	3
glial cell differentiation	3
gliogenesis	3
glucose import	3
glucose transmembrane transport	3
heart contraction	3
heart looping	3
heart morphogenesis	3
heart process	3
hexose transmembrane transport	3
histone acetylation	3
histone phosphorylation	3
humoral immune response	3
inositol lipid-mediated signaling	3
internal peptidyl-lysine acetylation	3
internal protein amino acid acetylation	3
intracellular receptor signaling pathway	3
iron ion homeostasis	3
kidney epithelium development	3
L-alpha-amino acid transmembrane transport	3
L-amino acid transport	3
leukocyte chemotaxis	3
macroautophagy	3
maintenance of location	3
mammary gland development	3
meiotic cell cycle process	3
memory	3
mesenchymal cell differentiation	3
mesonephric epithelium development	3
mesonephric tubule development	3
mesonephric tubule morphogenesis	3
mesonephros development	3
midbrain development	3
monocarboxylic acid biosynthetic process	3
monosaccharide transmembrane transport	3
morphogenesis of a branching epithelium	3
morphogenesis of a branching structure	3
myeloid cell differentiation	3
negative regulation of binding	3
negative regulation of cell cycle process	3
negative regulation of cell projection organization	3
negative regulation of cellular component movement	3
negative regulation of G-protein coupled receptor protein signaling pathway	3
negative regulation of kinase activity	3
negative regulation of locomotion	3
negative regulation of neuron differentiation	3
negative regulation of neuron projection development	3
negative regulation of organelle organization	3
negative regulation of phosphorylation	3
negative regulation of protein binding	3
negative regulation of protein kinase activity	3
negative regulation of protein phosphorylation	3
negative regulation of response to external stimulus	3
negative regulation of transferase activity	3
negative regulation of translation	3
nephron epithelium development	3
nephron epithelium morphogenesis	3
nephron tubule development	3
nephron tubule morphogenesis	3
neural precursor cell proliferation	3
neuron projection extension	3
neuron projection extension involved in neuron projection guidance	3
nucleobase-containing compound transport	3
nucleoside phosphate biosynthetic process	3
nucleotide biosynthetic process	3
organic acid biosynthetic process	3
organic acid transmembrane transport	3
organic acid transport	3
organic hydroxy compound metabolic process	3
organophosphate ester transport	3
peptidyl-lysine acetylation	3
peptidyl-lysine modification	3
phosphatidylinositol 3-kinase signaling	3
phosphatidylinositol-mediated signaling	3
phospholipid metabolic process	3
platelet activation	3
positive regulation of axonogenesis	3
positive regulation of binding	3
positive regulation of canonical Wnt signaling pathway	3
positive regulation of carbohydrate metabolic process	3
positive regulation of cardiac muscle tissue development	3
positive regulation of cell activation	3
positive regulation of cell cycle process	3
positive regulation of cell fate commitment	3
positive regulation of chemotaxis	3
positive regulation of chromosome organization	3
positive regulation of cytokine production	3
positive regulation of developmental growth	3
positive regulation of DNA binding transcription factor activity	3
positive regulation of DNA biosynthetic process	3
positive regulation of DNA metabolic process	3
positive regulation of ERK1 and ERK2 cascade	3
positive regulation of growth	3
positive regulation of GTPase activity	3
positive regulation of lipase activity	3
positive regulation of lipid metabolic process	3
positive regulation of peptidase activity	3
positive regulation of phospholipase activity	3
positive regulation of phospholipase C activity	3
positive regulation of response to external stimulus	3
positive regulation of small molecule metabolic process	3
positive regulation of Wnt signaling pathway	3
protein acetylation	3
protein import	3
purine nucleotide biosynthetic process	3
purine ribonucleotide biosynthetic process	3
purine-containing compound biosynthetic process	3
pyruvate biosynthetic process	3
receptor internalization	3
receptor metabolic process	3
receptor-mediated endocytosis	3
regulation of actin cytoskeleton organization	3
regulation of actin filament-based process	3
regulation of anatomical structure size	3
regulation of angiogenesis	3
regulation of axon extension	3
regulation of axon extension involved in axon guidance	3
regulation of blood circulation	3
regulation of canonical Wnt signaling pathway	3
regulation of carbohydrate metabolic process	3
regulation of cardiac muscle tissue development	3
regulation of cell fate commitment	3
regulation of cell growth	3
regulation of cell size	3
regulation of cellular component size	3
regulation of chromosome organization	3
regulation of circadian rhythm	3
regulation of dendrite development	3
regulation of DNA biosynthetic process	3
regulation of DNA metabolic process	3
regulation of embryonic development	3
regulation of endocytosis	3
regulation of ERK1 and ERK2 cascade	3
regulation of extent of cell growth	3
regulation of G-protein coupled receptor protein signaling pathway	3
regulation of heart contraction	3
regulation of intracellular transport	3
regulation of kidney development	3
regulation of lipase activity	3
regulation of lymphocyte activation	3
regulation of macroautophagy	3
regulation of metal ion transport	3
regulation of microtubule cytoskeleton organization	3
regulation of microtubule-based process	3
regulation of mitochondrion organization	3
regulation of morphogenesis of an epithelium	3
regulation of multi-organism process	3
regulation of organ growth	3
regulation of organelle assembly	3
regulation of peptidase activity	3
regulation of peptide secretion	3
regulation of phosphatidylinositol 3-kinase signaling	3
regulation of phospholipase activity	3
regulation of phospholipase C activity	3
regulation of postsynaptic membrane potential	3
regulation of Ras protein signal transduction	3
regulation of Rho protein signal transduction	3
regulation of signal transduction by p53 class mediator	3
regulation of small molecule metabolic process	3
regulation of stress-activated MAPK cascade	3
regulation of stress-activated protein kinase signaling cascade	3
regulation of vasculature development	3
regulation of Wnt signaling pathway	3
renal tubule development	3
renal tubule morphogenesis	3
replacement bone morphogenesis	3
response to acid chemical	3
response to alkaloid	3
response to cAMP	3
response to leukemia inhibitory factor	3
response to light stimulus	3
response to organophosphorus	3
response to reactive oxygen species	3
response to steroid hormone	3
response to tumor necrosis factor	3
ribonucleotide biosynthetic process	3
ribose phosphate biosynthetic process	3
roof of mouth development	3
signal release	3
small molecule catabolic process	3
smooth muscle cell proliferation	3
somatic stem cell population maintenance	3
specification of symmetry	3
stress-activated MAPK cascade	3
synaptic vesicle cycle	3
tissue migration	3
transition metal ion homeostasis	3
ureteric bud development	3
ureteric bud morphogenesis	3
acetylcholine receptor signaling pathway	2
actin filament organization	2
action potential	2
acyl-CoA metabolic process	2
adaptation of signaling pathway	2
adenylate cyclase-activating G-protein coupled receptor signaling pathway	2
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	2
ADP metabolic process	2
adult behavior	2
adult locomotory behavior	2
alcohol biosynthetic process	2
alpha-amino acid metabolic process	2
amine transport	2
aminoglycan metabolic process	2
ammonium transport	2
anatomical structure arrangement	2
antimicrobial humoral immune response mediated by antimicrobial peptide	2
antimicrobial humoral response	2
aorta development	2
aorta morphogenesis	2
appendage morphogenesis	2
artery development	2
artery morphogenesis	2
astrocyte differentiation	2
ATP biosynthetic process	2
ATP generation from ADP	2
ATP-dependent chromatin remodeling	2
autonomic nervous system development	2
axon ensheathment	2
B cell proliferation	2
blood vessel endothelial cell migration	2
bone growth	2
calcium ion transmembrane import into cytosol	2
calcium ion transport into cytosol	2
calcium-mediated signaling	2
carbohydrate catabolic process	2
carboxylic acid catabolic process	2
cardiac muscle cell proliferation	2
cardiac muscle tissue growth	2
cardioblast differentiation	2
cartilage development involved in endochondral bone morphogenesis	2
catecholamine transport	2
cell cycle arrest	2
cell cycle G1/S phase transition	2
cell differentiation in spinal cord	2
cell fate commitment involved in formation of primary germ layer	2
cell migration involved in sprouting angiogenesis	2
cell proliferation in forebrain	2
cell-substrate adhesion	2
cellular potassium ion transport	2
cellular response to acetylcholine	2
cellular response to acid chemical	2
cellular response to fibroblast growth factor stimulus	2
cellular response to heat	2
cellular response to insulin stimulus	2
cellular response to interleukin-1	2
cellular response to oxidative stress	2
cellular response to reactive oxygen species	2
cellular response to steroid hormone stimulus	2
cellular response to toxic substance	2
chloride transmembrane transport	2
chloride transport	2
chondrocyte differentiation	2
chondrocyte proliferation	2
chromatin silencing	2
chromosome segregation	2
collagen metabolic process	2
cranial nerve development	2
cranial nerve morphogenesis	2
cranial nerve structural organization	2
cyclic nucleotide metabolic process	2
cytokinesis	2
cytoskeleton-dependent intracellular transport	2
cytosolic calcium ion transport	2
dendrite morphogenesis	2
dendritic spine development	2
dendritic spine morphogenesis	2
dendritic spine organization	2
dephosphorylation	2
desensitization of G-protein coupled receptor protein signaling pathway	2
detection of abiotic stimulus	2
detection of external stimulus	2
detection of light stimulus	2
detection of visible light	2
development of primary male sexual characteristics	2
development of primary sexual characteristics	2
developmental induction	2
DNA conformation change	2
DNA packaging	2
DNA-templated transcription, initiation	2
dorsal/ventral pattern formation	2
drug transmembrane transport	2
embryonic appendage morphogenesis	2
embryonic digit morphogenesis	2
embryonic limb morphogenesis	2
endochondral bone growth	2
endocrine system development	2
endothelial cell migration	2
energy derivation by oxidation of organic compounds	2
ensheathment of neurons	2
epithelial cell proliferation	2
establishment of protein localization to mitochondrion	2
establishment of RNA localization	2
excitatory postsynaptic potential	2
facial nerve development	2
facial nerve morphogenesis	2
fatty acid derivative metabolic process	2
female gamete generation	2
fibroblast growth factor receptor signaling pathway	2
forebrain neuron development	2
forebrain neuron differentiation	2
formation of primary germ layer	2
G-protein coupled acetylcholine receptor signaling pathway	2
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	2
G1/S transition of mitotic cell cycle	2
gastrulation	2
gene silencing by RNA	2
gland morphogenesis	2
glial cell development	2
glucose metabolic process	2
glutamate receptor signaling pathway	2
glycerolipid metabolic process	2
glycerophospholipid metabolic process	2
glycolytic process	2
glycoprotein biosynthetic process	2
glycoprotein metabolic process	2
glycosaminoglycan metabolic process	2
glycosylation	2
Golgi organization	2
Golgi vesicle transport	2
gonad development	2
growth plate cartilage development	2
heart growth	2
hemoglobin metabolic process	2
hepaticobiliary system development	2
hexose metabolic process	2
hippocampus development	2
histone exchange	2
histone H4 acetylation	2
histone methylation	2
