Molecular function	n
active transmembrane transporter activity	7
GTP binding	7
guanyl nucleotide binding	7
guanyl ribonucleotide binding	7
nucleoside binding	7
proximal promoter sequence-specific DNA binding	7
purine nucleoside binding	7
purine ribonucleoside binding	7
ribonucleoside binding	7
RNA polymerase II proximal promoter sequence-specific DNA binding	7
transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	7
GTPase activity	6
guanyl-nucleotide exchange factor activity	6
Ras guanyl-nucleotide exchange factor activity	6
transcription coactivator activity	6
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	6
anion transmembrane transporter activity	5
G-protein coupled receptor binding	5
metal ion transmembrane transporter activity	5
secondary active transmembrane transporter activity	5
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	5
ATPase activity	4
channel activity	4
gated channel activity	4
histone binding	4
ion channel activity	4
ion gated channel activity	4
ligand-gated channel activity	4
ligand-gated ion channel activity	4
magnesium ion binding	4
organic anion transmembrane transporter activity	4
passive transmembrane transporter activity	4
Rho GTPase binding	4
substrate-specific channel activity	4
amino acid transmembrane transporter activity	3
antiporter activity	3
ATPase activity, coupled	3
ATPase activity, coupled to movement of substances	3
carbohydrate binding	3
carboxylic acid transmembrane transporter activity	3
cofactor binding	3
drug transmembrane transporter activity	3
extracellular ligand-gated ion channel activity	3
glycosaminoglycan binding	3
helicase activity	3
L-amino acid transmembrane transporter activity	3
ligand-dependent nuclear receptor transcription coactivator activity	3
lyase activity	3
monovalent inorganic cation transmembrane transporter activity	3
organic acid transmembrane transporter activity	3
peptide receptor activity	3
protein tyrosine kinase activity	3
signal transducer activity, downstream of receptor	3
signal transducer, downstream of receptor, with serine/threonine kinase activity	3
structural constituent of cytoskeleton	3
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	3
actin binding	2
ammonium transmembrane transporter activity	2
anion channel activity	2
calcium ion transmembrane transporter activity	2
cAMP binding	2
cation channel activity	2
chloride channel activity	2
chloride transmembrane transporter activity	2
coenzyme binding	2
collagen binding	2
cyclic nucleotide binding	2
dynein complex binding	2
endopeptidase activity	2
excitatory extracellular ligand-gated ion channel activity	2
exopeptidase activity	2
extracellularly glutamate-gated ion channel activity	2
frizzled binding	2
G-protein coupled peptide receptor activity	2
growth factor binding	2
growth factor receptor binding	2
GTPase activator activity	2
GTPase regulator activity	2
heparin binding	2
histone deacetylase binding	2
histone kinase activity	2
hormone receptor binding	2
inorganic anion transmembrane transporter activity	2
kinase regulator activity	2
ligand-gated anion channel activity	2
ligand-gated cation channel activity	2
lipid transporter activity	2
modification-dependent protein binding	2
molecular adaptor activity	2
mRNA binding	2
neurotransmitter receptor activity	2
neurotransmitter transporter activity	2
nuclear hormone receptor binding	2
nucleoside-triphosphatase regulator activity	2
nucleosome binding	2
oxidoreductase activity, acting on CH-OH group of donors	2
oxidoreductase activity, acting on NAD(P)H	2
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	2
phosphatase binding	2
phosphatidylinositol 3-kinase activity	2
phosphatidylinositol binding	2
phosphatidylinositol bisphosphate kinase activity	2
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	2
phospholipid binding	2
phospholipid transporter activity	2
phospholipid-translocating ATPase activity	2
phosphoric ester hydrolase activity	2
protein binding, bridging	2
protein heterodimerization activity	2
protein kinase regulator activity	2
proteoglycan binding	2
Rac GTPase binding	2
receptor ligand activity	2
Rho guanyl-nucleotide exchange factor activity	2
RNA polymerase II transcription cofactor activity	2
semaphorin receptor activity	2
sodium ion transmembrane transporter activity	2
solute:cation symporter activity	2
sulfur compound binding	2
symporter activity	2
thiolester hydrolase activity	2
transcription corepressor activity	2
transcription factor activity, RNA polymerase II transcription factor binding	2
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	2
transferase activity, transferring acyl groups	2
translation regulator activity	2
transmitter-gated channel activity	2
transmitter-gated ion channel activity	2
ubiquitin protein ligase activity	2
ubiquitin protein ligase binding	2
ubiquitin-like protein ligase activity	2
ubiquitin-like protein ligase binding	2
ubiquitin-like protein transferase activity	2
ubiquitin-protein transferase activity	2
voltage-gated cation channel activity	2
voltage-gated channel activity	2
voltage-gated ion channel activity	2
1-phosphatidylinositol-3-kinase activity	1
3',5'-cyclic-AMP phosphodiesterase activity	1
3',5'-cyclic-GMP phosphodiesterase activity	1
3',5'-cyclic-nucleotide phosphodiesterase activity	1
acetylation-dependent protein binding	1
acetyltransferase activity	1
acid-thiol ligase activity	1
acidic amino acid transmembrane transporter activity	1
active ion transmembrane transporter activity	1
acyl-CoA hydrolase activity	1
adenine nucleotide transmembrane transporter activity	1
adenylate cyclase activity	1
ADP transmembrane transporter activity	1
adrenergic receptor binding	1
amide binding	1
amino acid binding	1
aminopeptidase activity	1
androgen receptor binding	1
anion:anion antiporter activity	1
antigen binding	1
antioxidant activity	1
arginine N-methyltransferase activity	1
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	1
ATPase activity, coupled to transmembrane movement of substances	1
ATPase coupled ion transmembrane transporter activity	1
basal RNA polymerase II transcription machinery binding	1
basal transcription machinery binding	1
benzodiazepine receptor activity	1
beta-catenin binding	1
calcium channel activity	1
calcium-dependent protein binding	1
calcium-transporting ATPase activity	1
calmodulin binding	1
calmodulin-dependent protein kinase activity	1
carbohydrate derivative transmembrane transporter activity	1
carbohydrate transmembrane transporter activity	1
carbohydrate:cation symporter activity	1
carbohydrate:proton symporter activity	1
carbon-carbon lyase activity	1
carbon-nitrogen lyase activity	1
carboxy-lyase activity	1
carboxylic acid binding	1
carboxylic ester hydrolase activity	1
cation-transporting ATPase activity	1
cell adhesion molecule binding	1
chaperone binding	1
chemoattractant activity	1
chemokine receptor activity	1
chromatin DNA binding	1
co-receptor binding	1
CoA hydrolase activity	1
CoA-ligase activity	1
copper ion binding	1
core promoter binding	1
cullin family protein binding	1
cyclase activity	1
cyclic nucleotide-gated ion channel activity	1
cyclic-nucleotide phosphodiesterase activity	1
cyclin-dependent protein kinase activity	1
cyclin-dependent protein serine/threonine kinase activity	1
cysteine-type peptidase activity	1
cytokine activity	1
cytokine receptor activity	1
cytoskeletal adaptor activity	1
dicarboxylic acid transmembrane transporter activity	1
dipeptidase activity	1
disulfide oxidoreductase activity	1
double-stranded RNA binding	1
dynactin binding	1
dynein light intermediate chain binding	1
enhancer binding	1
enzyme inhibitor activity	1
extracellular matrix structural constituent	1
fatty acid ligase activity	1
fibroblast growth factor receptor binding	1
G-protein beta/gamma-subunit complex binding	1
G-protein coupled chemoattractant receptor activity	1
G-protein coupled photoreceptor activity	1
GABA receptor activity	1
GABA-A receptor activity	1
GABA-gated chloride ion channel activity	1
glucose transmembrane transporter activity	1
glutamate receptor activity	1
glycine binding	1
growth factor activity	1
GTP-Rho binding	1
GTPase activating protein binding	1
guanylate cyclase activity	1
H4 histone acetyltransferase activity	1
heme binding	1
heparan sulfate proteoglycan binding	1
hexose transmembrane transporter activity	1
histone acetyltransferase activity	1
histone methyltransferase activity	1
hormone binding	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	1
inhibitory extracellular ligand-gated ion channel activity	1
integrin binding	1
intracellular cyclic nucleotide activated cation channel activity	1
intracellular ligand-gated ion channel activity	1
ion antiporter activity	1
ionotropic glutamate receptor activity	1
isomerase activity	1
kinase activator activity	1
kinase inhibitor activity	1
L-glutamate transmembrane transporter activity	1
ligand-gated calcium channel activity	1
ligase activity	1
ligase activity, forming carbon-sulfur bonds	1
lipid phosphatase activity	1
long-chain fatty acid-CoA ligase activity	1
lysine-acetylated histone binding	1
magnesium ion transmembrane transporter activity	1
MAP kinase activity	1
MAP kinase kinase activity	1
MAP kinase kinase kinase activity	1
metalloaminopeptidase activity	1
metalloendopeptidase activity	1
metalloexopeptidase activity	1
metallopeptidase activity	1
methylated histone binding	1
methylation-dependent protein binding	1
methyltransferase activity	1
miRNA binding	1
mitogen-activated protein kinase kinase binding	1
monosaccharide transmembrane transporter activity	1
mRNA 3'-UTR binding	1
mRNA 5'-UTR binding	1
N-acetyltransferase activity	1
N-acyltransferase activity	1
N-methyltransferase activity	1
NAD binding	1
NAD+ ADP-ribosyltransferase activity	1
NADH dehydrogenase (quinone) activity	1
NADH dehydrogenase (ubiquinone) activity	1
NADH dehydrogenase activity	1
neuropeptide receptor activity	1
neuropeptide receptor binding	1
neuropeptide Y receptor activity	1
neurotransmitter binding	1
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	1
non-membrane spanning protein tyrosine kinase activity	1
nucleobase-containing compound transmembrane transporter activity	1
nucleoside-diphosphatase activity	1
nucleosomal DNA binding	1
nucleotide diphosphatase activity	1
nucleotide transmembrane transporter activity	1
oligosaccharide binding	1
organic acid binding	1
organic cation transmembrane transporter activity	1
organic hydroxy compound transmembrane transporter activity	1
organophosphate ester transmembrane transporter activity	1
oxidoreductase activity, acting on a sulfur group of donors	1
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	1
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	1
oxidoreductase activity, acting on peroxide as acceptor	1
oxidoreductase activity, oxidizing metal ions	1
P-P-bond-hydrolysis-driven transmembrane transporter activity	1
palmitoyl hydrolase activity	1
palmitoyl-(protein) hydrolase activity	1
pattern binding	1
PDZ domain binding	1
peptide binding	1
peptide hormone binding	1
peptide N-acetyltransferase activity	1
peptide-lysine-N-acetyltransferase activity	1
peptidoglycan binding	1
peroxidase activity	1
phosphatase activity	1
phosphate ion transmembrane transporter activity	1
phosphatidate phosphatase activity	1
phosphatidylinositol 3-kinase binding	1
phosphatidylinositol bisphosphate binding	1
phosphatidylinositol kinase activity	1
phosphatidylinositol phosphate binding	1
phosphatidylinositol-3,5-bisphosphate binding	1
phosphoprotein binding	1
phosphoric diester hydrolase activity	1
phosphorus-oxygen lyase activity	1
phosphotyrosine residue binding	1
photoreceptor activity	1
platelet-derived growth factor binding	1
platelet-derived growth factor receptor binding	1
polysaccharide binding	1
postsynaptic neurotransmitter receptor activity	1
potassium channel activity	1
potassium ion transmembrane transporter activity	1
primary active transmembrane transporter activity	1
profilin binding	1
protease binding	1
protein C-terminus binding	1
protein kinase activator activity	1
protein kinase C activity	1
protein kinase C binding	1
protein kinase inhibitor activity	1
protein methyltransferase activity	1
protein phosphatase binding	1
protein phosphorylated amino acid binding	1
protein serine/threonine/tyrosine kinase activity	1
protein-arginine N-methyltransferase activity	1
proton transmembrane transporter activity	1
purine nucleotide transmembrane transporter activity	1
purine ribonucleotide transmembrane transporter activity	1
pyridoxal phosphate binding	1
quaternary ammonium group transmembrane transporter activity	1
Rab GTPase binding	1
Rac guanyl-nucleotide exchange factor activity	1
racemase and epimerase activity	1
regulatory RNA binding	1
retinoic acid receptor binding	1
RNA polymerase binding	1
RNA polymerase core enzyme binding	1
RNA polymerase II core binding	1
RNA polymerase II transcription coactivator activity	1
RNA polymerase II transcription corepressor activity	1
S-adenosylmethionine-dependent methyltransferase activity	1
scaffold protein binding	1
serine hydrolase activity	1
serine-type endopeptidase activity	1
serine-type peptidase activity	1
SH3/SH2 adaptor activity	1
signaling adaptor activity	1
single-stranded DNA binding	1
single-stranded RNA binding	1
sodium channel activity	1
sodium:phosphate symporter activity	1
solute:proton symporter activity	1
solute:sodium symporter activity	1
steroid hormone receptor binding	1
structural constituent of epidermis	1
structural constituent of ribosome	1
sugar transmembrane transporter activity	1
tau-protein kinase activity	1
tetrapyrrole binding	1
thiol-dependent ubiquitinyl hydrolase activity	1
transaminase activity	1
transcription cofactor binding	1
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	1
transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	1
transcriptional activator activity, RNA polymerase II transcription factor binding	1
transcriptional repressor activity, RNA polymerase II transcription factor binding	1
transferase activity, transferring acyl groups other than amino-acyl groups	1
transferase activity, transferring amino-acyl groups	1
transferase activity, transferring glycosyl groups	1
transferase activity, transferring nitrogenous groups	1
transferase activity, transferring one-carbon groups	1
transferase activity, transferring pentosyl groups	1
transmembrane receptor protein kinase activity	1
transmembrane receptor protein tyrosine kinase activity	1
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	1
ubiquitin-like protein-specific protease activity	1
ubiquitin-protein transferase regulator activity	1
ubiquitin-ubiquitin ligase activity	1
ubiquitinyl hydrolase activity	1
very long-chain fatty acid-CoA ligase activity	1
vitamin B6 binding	1
vitamin binding	1
voltage-gated potassium channel activity	1
voltage-gated sodium channel activity	1
