tissue	Number of genes
Testis	104
Brain - Cerebellum	99
Pituitary	99
Brain - Cerebellar Hemisphere	97
Cervix - Endocervix	96
Nerve - Tibial	95
Adipose - Visceral (Omentum)	94
Fallopian Tube	94
Thyroid	94
Brain - Cortex	93
Cervix - Ectocervix	93
Lung	93
Prostate	93
Artery - Tibial	92
Brain - Frontal Cortex (BA9)	92
Breast - Mammary Tissue	92
Adipose - Subcutaneous	91
Bladder	91
Small Intestine - Terminal Ileum	91
Uterus	91
Brain - Anterior cingulate cortex (BA24)	90
Brain - Caudate (basal ganglia)	90
Artery - Coronary	89
Brain - Hypothalamus	89
Brain - Nucleus accumbens (basal ganglia)	89
Ovary	89
Skin - Sun Exposed (Lower leg)	89
Brain - Amygdala	88
Brain - Spinal cord (cervical c-1)	88
Vagina	88
Artery - Aorta	87
Colon - Sigmoid	87
Minor Salivary Gland	87
Skin - Not Sun Exposed (Suprapubic)	87
Stomach	87
Brain - Hippocampus	86
Esophagus - Gastroesophageal Junction	86
Esophagus - Muscularis	86
Spleen	86
Brain - Substantia nigra	85
Colon - Transverse	84
Brain - Putamen (basal ganglia)	83
Esophagus - Mucosa	83
Kidney - Cortex	83
Cells - Transformed fibroblasts	81
Heart - Atrial Appendage	80
Adrenal Gland	79
Pancreas	72
Heart - Left Ventricle	69
Liver	69
Muscle - Skeletal	68
Cells - EBV-transformed lymphocytes	65
Whole Blood	57
