GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0007389	pattern specification process	19	5362	ENSG00000076356	PLXNA2
GO:0003002	regionalization	17	5362	ENSG00000076356	PLXNA2
GO:0048568	embryonic organ development	16	79977	ENSG00000083307	GRHL2
GO:0048562	embryonic organ morphogenesis	14	79977	ENSG00000083307	GRHL2
GO:0022604	regulation of cell morphogenesis	14	54764	ENSG00000019995	ZRANB1
GO:0009952	anterior/posterior pattern specification	13	5362	ENSG00000076356	PLXNA2
GO:0045165	cell fate commitment	13	7473	ENSG00000108379	WNT3
GO:0007409	axonogenesis	12	10048	ENSG00000010017	RANBP9
GO:0061564	axon development	12	10048	ENSG00000010017	RANBP9
GO:0019827	stem cell population maintenance	11	4849	ENSG00000088038	CNOT3
GO:0098727	maintenance of cell number	11	4849	ENSG00000088038	CNOT3
GO:0048736	appendage development	11	5362	ENSG00000076356	PLXNA2
GO:0060173	limb development	11	5362	ENSG00000076356	PLXNA2
GO:0018209	peptidyl-serine modification	11	5586	ENSG00000065243	PKN2
GO:0034470	ncRNA processing	11	4234	ENSG00000037897	METTL1
GO:0050708	regulation of protein secretion	11	2219	ENSG00000085265	FCN1
GO:0048732	gland development	11	5594	ENSG00000100030	MAPK1
GO:0002791	regulation of peptide secretion	11	2219	ENSG00000085265	FCN1
GO:0016049	cell growth	11	54879	ENSG00000007341	ST7L
GO:0018105	peptidyl-serine phosphorylation	10	5586	ENSG00000065243	PKN2
GO:0030111	regulation of Wnt signaling pathway	10	54764	ENSG00000019995	ZRANB1
GO:0010948	negative regulation of cell cycle process	10	4849	ENSG00000088038	CNOT3
GO:0014706	striated muscle tissue development	10	8531	ENSG00000060138	YBX3
GO:0060537	muscle tissue development	10	8531	ENSG00000060138	YBX3
GO:0006874	cellular calcium ion homeostasis	10	84239	ENSG00000127249	ATP13A4
GO:0055074	calcium ion homeostasis	10	84239	ENSG00000127249	ATP13A4
GO:0023061	signal release	10	815	ENSG00000070808	CAMK2A
GO:0072503	cellular divalent inorganic cation homeostasis	10	84239	ENSG00000127249	ATP13A4
GO:0015711	organic anion transport	10	57084	ENSG00000091664	SLC17A6
GO:0022613	ribonucleoprotein complex biogenesis	10	23517	ENSG00000039123	MTREX
GO:0072507	divalent inorganic cation homeostasis	10	84239	ENSG00000127249	ATP13A4
GO:1901652	response to peptide	10	57492	ENSG00000049618	ARID1B
GO:0001501	skeletal system development	10	79977	ENSG00000083307	GRHL2
GO:0007411	axon guidance	9	10048	ENSG00000010017	RANBP9
GO:0097485	neuron projection guidance	9	10048	ENSG00000010017	RANBP9
GO:0090596	sensory organ morphogenesis	9	5594	ENSG00000100030	MAPK1
GO:0048863	stem cell differentiation	9	5594	ENSG00000100030	MAPK1
GO:0071103	DNA conformation change	9	9918	ENSG00000010292	NCAPD2
GO:0046879	hormone secretion	9	94121	ENSG00000102362	SYTL4
GO:0001701	in utero embryonic development	9	8531	ENSG00000060138	YBX3
GO:0060562	epithelial tube morphogenesis	9	79977	ENSG00000083307	GRHL2
GO:0060070	canonical Wnt signaling pathway	9	5700	ENSG00000100764	PSMC1
GO:0009914	hormone transport	9	94121	ENSG00000102362	SYTL4
GO:0006839	mitochondrial transport	9	815	ENSG00000070808	CAMK2A
GO:1901653	cellular response to peptide	9	57492	ENSG00000049618	ARID1B
GO:0032259	methylation	9	4234	ENSG00000037897	METTL1
GO:0009165	nucleotide biosynthetic process	9	9519	ENSG00000028839	TBPL1
GO:1901293	nucleoside phosphate biosynthetic process	9	9519	ENSG00000028839	TBPL1
GO:0051604	protein maturation	9	2999	ENSG00000100450	GZMH
GO:0009896	positive regulation of catabolic process	9	5700	ENSG00000100764	PSMC1
GO:0001558	regulation of cell growth	9	54879	ENSG00000007341	ST7L
GO:0007517	muscle organ development	9	8531	ENSG00000060138	YBX3
GO:0051090	regulation of DNA binding transcription factor activity	9	815	ENSG00000070808	CAMK2A
GO:0043434	response to peptide hormone	9	57492	ENSG00000049618	ARID1B
GO:0010975	regulation of neuron projection development	9	5362	ENSG00000076356	PLXNA2
GO:1901987	regulation of cell cycle phase transition	9	4849	ENSG00000088038	CNOT3
