GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0007389	pattern specification process	15	2648	ENSG00000108773	KAT2A
GO:0051962	positive regulation of nervous system development	14	5583	ENSG00000027075	PRKCH
GO:0050878	regulation of body fluid levels	14	5583	ENSG00000027075	PRKCH
GO:0050808	synapse organization	13	816	ENSG00000058404	CAMK2B
GO:0030900	forebrain development	13	2648	ENSG00000108773	KAT2A
GO:0048568	embryonic organ development	13	6913	ENSG00000092607	TBX15
GO:0050769	positive regulation of neurogenesis	13	5583	ENSG00000027075	PRKCH
GO:0022604	regulation of cell morphogenesis	13	816	ENSG00000058404	CAMK2B
GO:0001501	skeletal system development	13	8538	ENSG00000043039	BARX2
GO:0048562	embryonic organ morphogenesis	12	6913	ENSG00000092607	TBX15
GO:0018209	peptidyl-serine modification	12	5583	ENSG00000027075	PRKCH
GO:0045165	cell fate commitment	11	26038	ENSG00000116254	CHD5
GO:0018105	peptidyl-serine phosphorylation	11	5583	ENSG00000027075	PRKCH
GO:0060562	epithelial tube morphogenesis	11	2648	ENSG00000108773	KAT2A
GO:0003002	regionalization	11	2648	ENSG00000108773	KAT2A
GO:0090596	sensory organ morphogenesis	10	5595	ENSG00000102882	MAPK3
GO:0021700	developmental maturation	10	816	ENSG00000058404	CAMK2B
GO:0060485	mesenchyme development	10	5595	ENSG00000102882	MAPK3
GO:0007596	blood coagulation	10	5583	ENSG00000027075	PRKCH
GO:0007599	hemostasis	10	5583	ENSG00000027075	PRKCH
GO:0050817	coagulation	10	5583	ENSG00000027075	PRKCH
GO:0006631	fatty acid metabolic process	10	5595	ENSG00000102882	MAPK3
GO:0010975	regulation of neuron projection development	10	816	ENSG00000058404	CAMK2B
GO:0007416	synapse assembly	9	27286	ENSG00000102359	SRPX2
GO:0008360	regulation of cell shape	9	23433	ENSG00000119729	RHOQ
GO:0021953	central nervous system neuron differentiation	9	8929	ENSG00000109132	PHOX2B
GO:0050920	regulation of chemotaxis	9	5595	ENSG00000102882	MAPK3
GO:0009952	anterior/posterior pattern specification	9	2648	ENSG00000108773	KAT2A
GO:0061448	connective tissue development	9	8538	ENSG00000043039	BARX2
GO:0045666	positive regulation of neuron differentiation	9	816	ENSG00000058404	CAMK2B
GO:0031346	positive regulation of cell projection organization	9	816	ENSG00000058404	CAMK2B
GO:0043588	skin development	9	5583	ENSG00000027075	PRKCH
GO:0048608	reproductive structure development	9	5159	ENSG00000113721	PDGFRB
GO:0048732	gland development	9	5595	ENSG00000102882	MAPK3
GO:0061458	reproductive system development	9	5159	ENSG00000113721	PDGFRB
GO:0007409	axonogenesis	9	5595	ENSG00000102882	MAPK3
GO:0015711	organic anion transport	9	292	ENSG00000005022	SLC25A5
GO:0008544	epidermis development	9	5583	ENSG00000027075	PRKCH
GO:0061564	axon development	9	5595	ENSG00000102882	MAPK3
GO:0007411	axon guidance	8	5595	ENSG00000102882	MAPK3
GO:0097485	neuron projection guidance	8	5595	ENSG00000102882	MAPK3
GO:0048863	stem cell differentiation	8	5595	ENSG00000102882	MAPK3
