GOID	Molecular function	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	16	4904	ENSG00000065978	YBX1
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	16	8538	ENSG00000043039	BARX2
GO:0005525	GTP binding	13	27175	ENSG00000037042	TUBG2
GO:0032550	purine ribonucleoside binding	13	27175	ENSG00000037042	TUBG2
GO:0001883	purine nucleoside binding	13	27175	ENSG00000037042	TUBG2
GO:0032549	ribonucleoside binding	13	27175	ENSG00000037042	TUBG2
GO:0001882	nucleoside binding	13	27175	ENSG00000037042	TUBG2
GO:0032561	guanyl ribonucleotide binding	13	27175	ENSG00000037042	TUBG2
GO:0019001	guanyl nucleotide binding	13	27175	ENSG00000037042	TUBG2
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	13	4904	ENSG00000065978	YBX1
GO:0000987	proximal promoter sequence-specific DNA binding	13	4904	ENSG00000065978	YBX1
GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	11	4904	ENSG00000065978	YBX1
GO:0003924	GTPase activity	11	27175	ENSG00000037042	TUBG2
GO:0001664	G-protein coupled receptor binding	9	7482	ENSG00000134245	WNT2B
GO:0003713	transcription coactivator activity	9	2648	ENSG00000108773	KAT2A
GO:0005200	structural constituent of cytoskeleton	8	27175	ENSG00000037042	TUBG2
GO:0022804	active transmembrane transporter activity	8	292	ENSG00000005022	SLC25A5
GO:0048037	cofactor binding	8	27102	ENSG00000086232	EIF2AK1
GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	7	6913	ENSG00000092607	TBX15
GO:0005088	Ras guanyl-nucleotide exchange factor activity	7	7984	ENSG00000050327	ARHGEF5
GO:0005085	guanyl-nucleotide exchange factor activity	7	7984	ENSG00000050327	ARHGEF5
GO:0008509	anion transmembrane transporter activity	7	292	ENSG00000005022	SLC25A5
GO:0000287	magnesium ion binding	6	10079	ENSG00000054793	ATP9A
GO:0046982	protein heterodimerization activity	6	6913	ENSG00000092607	TBX15
GO:0001078	transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	5	6913	ENSG00000092607	TBX15
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5	1559	ENSG00000138109	CYP2C9
GO:0005506	iron ion binding	5	1559	ENSG00000138109	CYP2C9
GO:0016829	lyase activity	5	2677	ENSG00000115486	GGCX
GO:0008514	organic anion transmembrane transporter activity	5	292	ENSG00000005022	SLC25A5
GO:0015291	secondary active transmembrane transporter activity	5	292	ENSG00000005022	SLC25A5
GO:0030246	carbohydrate binding	5	10332	ENSG00000104938	CLEC4M
GO:0005216	ion channel activity	5	610	ENSG00000099822	HCN2
GO:0022838	substrate-specific channel activity	5	610	ENSG00000099822	HCN2
GO:0016887	ATPase activity	5	10079	ENSG00000054793	ATP9A
GO:0046873	metal ion transmembrane transporter activity	5	610	ENSG00000099822	HCN2
GO:0015267	channel activity	5	610	ENSG00000099822	HCN2
GO:0022803	passive transmembrane transporter activity	5	610	ENSG00000099822	HCN2
GO:0030374	ligand-dependent nuclear receptor transcription coactivator activity	4	79084	ENSG00000116455	WDR77
GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	4	1044	ENSG00000113722	CDX1
GO:0001104	RNA polymerase II transcription cofactor activity	4	6913	ENSG00000092607	TBX15
GO:0043492	ATPase activity, coupled to movement of substances	4	10079	ENSG00000054793	ATP9A
GO:0020037	heme binding	4	27102	ENSG00000086232	EIF2AK1
GO:0046906	tetrapyrrole binding	4	27102	ENSG00000086232	EIF2AK1
GO:0015276	ligand-gated ion channel activity	4	610	ENSG00000099822	HCN2
GO:0022834	ligand-gated channel activity	4	610	ENSG00000099822	HCN2
GO:0035257	nuclear hormone receptor binding	4	6801	ENSG00000115808	STRN
GO:0005342	organic acid transmembrane transporter activity	4	9057	ENSG00000103064	SLC7A6
GO:0046943	carboxylic acid transmembrane transporter activity	4	9057	ENSG00000103064	SLC7A6
GO:0017048	Rho GTPase binding	4	7984	ENSG00000050327	ARHGEF5
GO:0051427	hormone receptor binding	4	6801	ENSG00000115808	STRN
GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	4	6913	ENSG00000092607	TBX15
GO:0042393	histone binding	4	26038	ENSG00000116254	CHD5
GO:0005539	glycosaminoglycan binding	4	3075	ENSG00000000971	CFH
GO:0003714	transcription corepressor activity	4	6913	ENSG00000092607	TBX15
GO:1901681	sulfur compound binding	4	3075	ENSG00000000971	CFH
GO:0016746	transferase activity, transferring acyl groups	4	2648	ENSG00000108773	KAT2A
GO:0042277	peptide binding	4	10332	ENSG00000104938	CLEC4M
GO:0033218	amide binding	4	10332	ENSG00000104938	CLEC4M
GO:0022839	ion gated channel activity	4	610	ENSG00000099822	HCN2
GO:0022836	gated channel activity	4	610	ENSG00000099822	HCN2
GO:0015631	tubulin binding	4	9218	ENSG00000101558	VAPA
GO:0042623	ATPase activity, coupled	4	10079	ENSG00000054793	ATP9A
GO:0015077	monovalent inorganic cation transmembrane transporter activity	4	610	ENSG00000099822	HCN2
GO:0003779	actin binding	4	816	ENSG00000058404	CAMK2B
GO:0004175	endopeptidase activity	4	3002	ENSG00000100453	GZMB
GO:0050839	cell adhesion molecule binding	4	9218	ENSG00000101558	VAPA
GO:0017154	semaphorin receptor activity	3	55558	ENSG00000130827	PLXNA3
GO:0031683	G-protein beta/gamma-subunit complex binding	3	1069	ENSG00000147400	CETN2
GO:0005109	frizzled binding	3	7482	ENSG00000134245	WNT2B
GO:0043394	proteoglycan binding	3	3075	ENSG00000000971	CFH
GO:0019825	oxygen binding	3	1559	ENSG00000138109	CYP2C9
GO:0015179	L-amino acid transmembrane transporter activity	3	9057	ENSG00000103064	SLC7A6
GO:0031491	nucleosome binding	3	8289	ENSG00000117713	ARID1A
GO:0005230	extracellular ligand-gated ion channel activity	3	57030	ENSG00000104888	SLC17A7
GO:0015171	amino acid transmembrane transporter activity	3	9057	ENSG00000103064	SLC7A6
GO:0015297	antiporter activity	3	292	ENSG00000005022	SLC25A5
GO:0008276	protein methyltransferase activity	3	79084	ENSG00000116455	WDR77
GO:0005253	anion channel activity	3	57030	ENSG00000104888	SLC17A7
GO:0008170	N-methyltransferase activity	3	79084	ENSG00000116455	WDR77
GO:0015238	drug transmembrane transporter activity	3	292	ENSG00000005022	SLC25A5
GO:0004497	monooxygenase activity	3	1559	ENSG00000138109	CYP2C9
GO:0016407	acetyltransferase activity	3	2648	ENSG00000108773	KAT2A
GO:0031490	chromatin DNA binding	3	29841	ENSG00000134317	GRHL1
GO:0042826	histone deacetylase binding	3	2648	ENSG00000108773	KAT2A
GO:0016651	oxidoreductase activity, acting on NAD(P)H	3	4694	ENSG00000125356	NDUFA1
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	3	160287	ENSG00000166800	LDHAL6A
GO:0004702	signal transducer, downstream of receptor, with serine/threonine kinase activity	3	5595	ENSG00000102882	MAPK3
GO:0001653	peptide receptor activity	3	4882	ENSG00000159899	NPR2
GO:0005319	lipid transporter activity	3	10079	ENSG00000054793	ATP9A
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	3	160287	ENSG00000166800	LDHAL6A
GO:0004386	helicase activity	3	26038	ENSG00000116254	CHD5
GO:0008201	heparin binding	3	3075	ENSG00000000971	CFH
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	3	79084	ENSG00000116455	WDR77
GO:0015103	inorganic anion transmembrane transporter activity	3	57030	ENSG00000104888	SLC17A7
GO:0019902	phosphatase binding	3	5595	ENSG00000102882	MAPK3
GO:0005057	signal transducer activity, downstream of receptor	3	5595	ENSG00000102882	MAPK3
GO:0004713	protein tyrosine kinase activity	3	5159	ENSG00000113721	PDGFRB
GO:0031406	carboxylic acid binding	3	63826	ENSG00000167720	SRR
GO:0043177	organic acid binding	3	63826	ENSG00000167720	SRR
GO:0003823	antigen binding	3	10332	ENSG00000104938	CLEC4M
GO:0008168	methyltransferase activity	3	79084	ENSG00000116455	WDR77
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	3	2648	ENSG00000108773	KAT2A
GO:0061630	ubiquitin protein ligase activity	3	57161	ENSG00000139946	PELI2
GO:0016741	transferase activity, transferring one-carbon groups	3	79084	ENSG00000116455	WDR77
GO:0061659	ubiquitin-like protein ligase activity	3	57161	ENSG00000139946	PELI2
GO:0004252	serine-type endopeptidase activity	3	3002	ENSG00000100453	GZMB
GO:0008017	microtubule binding	3	9218	ENSG00000101558	VAPA
GO:0008236	serine-type peptidase activity	3	3002	ENSG00000100453	GZMB
GO:0050662	coenzyme binding	3	63826	ENSG00000167720	SRR
GO:0017171	serine hydrolase activity	3	3002	ENSG00000100453	GZMB
GO:0016757	transferase activity, transferring glycosyl groups	3	80351	ENSG00000107854	TNKS2
GO:0031625	ubiquitin protein ligase binding	3	292	ENSG00000005022	SLC25A5
GO:0044389	ubiquitin-like protein ligase binding	3	292	ENSG00000005022	SLC25A5
GO:0045296	cadherin binding	3	9218	ENSG00000101558	VAPA
GO:0042578	phosphoric ester hydrolase activity	3	8611	ENSG00000067113	PLPP1
GO:0003729	mRNA binding	3	50804	ENSG00000104177	MYEF2
GO:0005543	phospholipid binding	3	257364	ENSG00000173548	SNX33
GO:0004842	ubiquitin-protein transferase activity	3	57161	ENSG00000139946	PELI2
GO:0019787	ubiquitin-like protein transferase activity	3	57161	ENSG00000139946	PELI2
GO:0048018	receptor ligand activity	3	2247	ENSG00000138685	FGF2
GO:0016273	arginine N-methyltransferase activity	2	79084	ENSG00000116455	WDR77
GO:0016274	protein-arginine N-methyltransferase activity	2	79084	ENSG00000116455	WDR77
GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity	2	5145	ENSG00000132915	PDE6A
GO:0004697	protein kinase C activity	2	5583	ENSG00000027075	PRKCH
GO:0004383	guanylate cyclase activity	2	4882	ENSG00000159899	NPR2
GO:0008391	arachidonic acid monooxygenase activity	2	1559	ENSG00000138109	CYP2C9
GO:0008392	arachidonic acid epoxygenase activity	2	1559	ENSG00000138109	CYP2C9
GO:0004016	adenylate cyclase activity	2	4882	ENSG00000159899	NPR2
GO:0035173	histone kinase activity	2	5585	ENSG00000123143	PKN1
GO:0005234	extracellularly glutamate-gated ion channel activity	2	57030	ENSG00000104888	SLC17A7
GO:0099095	ligand-gated anion channel activity	2	57030	ENSG00000104888	SLC17A7
GO:0004012	phospholipid-translocating ATPase activity	2	10079	ENSG00000054793	ATP9A
GO:0043395	heparan sulfate proteoglycan binding	2	3075	ENSG00000000971	CFH
GO:0016849	phosphorus-oxygen lyase activity	2	4882	ENSG00000159899	NPR2
GO:0009975	cyclase activity	2	4882	ENSG00000159899	NPR2
GO:0070840	dynein complex binding	2	23299	ENSG00000185963	BICD2
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	2	5145	ENSG00000132915	PDE6A
GO:0030552	cAMP binding	2	610	ENSG00000099822	HCN2
