Biological Process	Number of genes
pattern specification process	57
epidermis development	52
skin development	50
regionalization	49
embryonic organ development	49
epidermal cell differentiation	46
keratinocyte differentiation	45
regulation of body fluid levels	44
skeletal system development	43
embryonic organ morphogenesis	41
regulation of cell morphogenesis	40
keratinization	39
axonogenesis	38
axon development	38
cell fate commitment	36
epithelial tube morphogenesis	36
positive regulation of nervous system development	35
anterior/posterior pattern specification	34
organic hydroxy compound metabolic process	34
divalent metal ion transport	33
divalent inorganic cation transport	33
divalent inorganic cation homeostasis	33
positive regulation of cell migration	33
synapse organization	32
peptidyl-serine modification	32
calcium ion transport	32
positive regulation of neurogenesis	32
cellular divalent inorganic cation homeostasis	32
organic anion transport	32
sensory organ morphogenesis	31
mesenchyme development	31
coagulation	31
muscle tissue development	31
response to xenobiotic stimulus	30
fatty acid metabolic process	30
striated muscle tissue development	30
regulation of DNA binding transcription factor activity	30
cellular calcium ion homeostasis	30
calcium ion homeostasis	30
regulation of neuron projection development	30
canonical Wnt signaling pathway	29
cellular response to drug	29
blood coagulation	29
eye development	29
hemostasis	29
gland development	29
negative regulation of transport	29
cell growth	29
response to peptide	29
cornification	28
regulation of chemotaxis	28
heart morphogenesis	28
peptidyl-serine phosphorylation	28
steroid metabolic process	28
forebrain development	28
positive regulation of establishment of protein localization	28
regulation of vesicle-mediated transport	28
response to extracellular stimulus	28
central nervous system neuron differentiation	27
camera-type eye development	27
mitochondrial transport	27
muscle organ development	27
covalent chromatin modification	27
response to nutrient levels	27
regulation of anatomical structure size	27
axon guidance	26
neuron projection guidance	26
stem cell differentiation	26
regulation of Wnt signaling pathway	26
response to peptide hormone	26
reproductive structure development	26
reproductive system development	26
regulation of hemopoiesis	26
Ras protein signal transduction	26
calcium ion transmembrane transport	25
protein-containing complex disassembly	25
positive regulation of neuron differentiation	25
regulation of binding	25
negative regulation of organelle organization	25
RNA splicing	25
signal release	25
response to oxidative stress	25
regulation of ion transmembrane transport	25
regulation of small molecule metabolic process	25
neutrophil mediated immunity	25
urogenital system development	24
positive regulation of cellular protein localization	24
muscle cell differentiation	24
nucleotide biosynthetic process	24
ossification	24
nucleoside phosphate biosynthetic process	24
positive regulation of catabolic process	24
positive regulation of protein transport	24
regulation of membrane potential	24
regulation of protein complex assembly	24
response to radiation	24
histone modification	24
regulation of peptide secretion	24
detection of chemical stimulus involved in sensory perception	24
autophagy	24
process utilizing autophagic mechanism	24
neutrophil degranulation	24
neutrophil activation involved in immune response	24
neutrophil activation	24
cell fate specification	23
synapse assembly	23
cellular response to xenobiotic stimulus	23
regulation of cell morphogenesis involved in differentiation	23
positive regulation of response to external stimulus	23
DNA conformation change	23
negative regulation of cell development	23
regulation of cytosolic calcium ion concentration	23
ERK1 and ERK2 cascade	23
second-messenger-mediated signaling	23
positive regulation of cell projection organization	23
positive regulation of protein serine/threonine kinase activity	23
RNA catabolic process	23
regulation of multi-organism process	23
myeloid cell differentiation	23
regulation of protein secretion	23
leukocyte migration	23
mRNA processing	23
sensory perception of smell	23
ear development	22
skeletal system morphogenesis	22
response to temperature stimulus	22
cell cycle arrest	22
cell chemotaxis	22
renal system development	22
viral life cycle	22
cellular response to peptide	22
methylation	22
regulation of lipid metabolic process	22
protein maturation	22
positive regulation of cytokine production	22
muscle system process	22
ribonucleoprotein complex biogenesis	22
leukocyte differentiation	22
stem cell population maintenance	21
maintenance of cell number	21
appendage development	21
limb development	21
gastrulation	21
respiratory system development	21
negative regulation of neurogenesis	21
regulation of canonical Wnt signaling pathway	21
negative regulation of nervous system development	21
purine ribonucleotide biosynthetic process	21
purine nucleotide biosynthetic process	21
ribonucleotide biosynthetic process	21
purine-containing compound biosynthetic process	21
ribose phosphate biosynthetic process	21
cellular response to abiotic stimulus	21
cellular response to environmental stimulus	21
in utero embryonic development	21
alcohol metabolic process	21
response to acid chemical	21
positive regulation of cellular catabolic process	21
modulation of chemical synaptic transmission	21
regulation of trans-synaptic signaling	21
negative regulation of cell cycle process	21
muscle contraction	21
regulation of cellular component size	21
response to oxygen levels	21
positive regulation of secretion	21
peptidyl-lysine modification	21
response to steroid hormone	21
regulation of cell growth	21
proteasome-mediated ubiquitin-dependent protein catabolic process	21
ncRNA processing	21
small molecule catabolic process	21
ameboidal-type cell migration	21
proteasomal protein catabolic process	21
regulation of cell cycle phase transition	21
regulation of lymphocyte activation	21
developmental growth involved in morphogenesis	20
regulation of myeloid cell differentiation	20
regulation of organ morphogenesis	20
anion transmembrane transport	20
heart contraction	20
heart process	20
response to light stimulus	20
cellular response to peptide hormone stimulus	20
purine ribonucleoside monophosphate metabolic process	20
regulation of developmental growth	20
purine nucleoside monophosphate metabolic process	20
ribonucleoside monophosphate metabolic process	20
nucleocytoplasmic transport	20
positive regulation of proteolysis	20
mRNA catabolic process	20
nuclear transport	20
nucleoside monophosphate metabolic process	20
Golgi vesicle transport	20
regulation of apoptotic signaling pathway	20
extracellular structure organization	20
regulation of DNA metabolic process	20
negative regulation of cellular amide metabolic process	20
gene silencing	20
xenobiotic metabolic process	19
neural tube development	19
lung development	19
respiratory tube development	19
leukocyte chemotaxis	19
protein acylation	19
connective tissue development	19
organic hydroxy compound biosynthetic process	19
regulation of heart contraction	19
developmental maturation	19
positive regulation of neuron projection development	19
kidney development	19
signal transduction by p53 class mediator	19
regulation of blood circulation	19
positive regulation of cytosolic calcium ion concentration	19
aging	19
cellular response to external stimulus	19
maintenance of location	19
response to antibiotic	19
activation of protein kinase activity	19
humoral immune response	19
transmembrane receptor protein serine/threonine kinase signaling pathway	19
extracellular matrix organization	19
response to hypoxia	19
response to decreased oxygen levels	19
positive regulation of secretion by cell	19
regulation of angiogenesis	19
positive regulation of cell cycle	19
regulation of intracellular transport	19
regulation of vasculature development	19
regulation of immune effector process	19
epithelial cell proliferation	19
regulation of mitotic cell cycle phase transition	19
negative regulation of immune system process	19
regulation of peptidase activity	19
T cell activation	19
regulation of GTPase activity	19
spinal cord development	18
ear morphogenesis	18
endocrine system development	18
tube formation	18
modification of morphology or physiology of other organism	18
response to starvation	18
inner ear development	18
mesenchymal cell differentiation	18
cellular response to nutrient levels	18
interaction with host	18
antigen processing and presentation	18
cellular response to extracellular stimulus	18
cell-cell adhesion via plasma-membrane adhesion molecules	18
gliogenesis	18
rhythmic process	18
striated muscle cell differentiation	18
protein-DNA complex subunit organization	18
intracellular receptor signaling pathway	18
nucleic acid phosphodiester bond hydrolysis	18
macroautophagy	18
response to tumor necrosis factor	18
hormone secretion	18
organic acid transport	18
carboxylic acid transport	18
regulation of chromosome organization	18
neuron death	18
hormone transport	18
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	18
mRNA splicing, via spliceosome	18
RNA splicing, via transesterification reactions	18
tissue migration	18
regulation of actin filament-based process	18
coenzyme metabolic process	18
actin filament organization	18
protein targeting	18
carboxylic acid biosynthetic process	18
organic acid biosynthetic process	18
regulation of innate immune response	18
negative regulation of translation	18
post-translational protein modification	18
establishment of organelle localization	18
positive regulation of defense response	18
negative regulation of phosphorylation	18
midbrain development	17
regulation of embryonic development	17
positive regulation of chemotaxis	17
peptidyl-threonine modification	17
morphogenesis of embryonic epithelium	17
morphogenesis of a branching epithelium	17
protein acetylation	17
drug transport	17
morphogenesis of a branching structure	17
hormone metabolic process	17
cardiac muscle tissue development	17
positive regulation of DNA binding transcription factor activity	17
regulation of protein stability	17
negative regulation of cell adhesion	17
protein folding	17
positive regulation of growth	17
protein polymerization	17
cellular response to tumor necrosis factor	17
response to metal ion	17
regulation of supramolecular fiber organization	17
nucleoside triphosphate metabolic process	17
regulation of metal ion transport	17
positive regulation of cell activation	17
cilium assembly	17
cilium organization	17
regulation of cell-cell adhesion	17
nuclear division	17
endomembrane system organization	17
negative regulation of protein phosphorylation	17
organelle fission	17
immune response-regulating cell surface receptor signaling pathway	17
roof of mouth development	16
long-chain fatty acid metabolic process	16
embryonic epithelial tube formation	16
epithelial tube formation	16
mesoderm development	16
appendage morphogenesis	16
limb morphogenesis	16
cardiocyte differentiation	16
negative regulation of binding	16
regulation of leukocyte migration	16
myeloid leukocyte migration	16
Notch signaling pathway	16
bone development	16
locomotory behavior	16
glial cell differentiation	16
cellular response to acid chemical	16
negative regulation of neuron differentiation	16
DNA packaging	16
developmental cell growth	16
positive regulation of DNA metabolic process	16
peptide hormone secretion	16
protein-DNA complex assembly	16
cellular response to steroid hormone stimulus	16
regulation of hormone secretion	16
monosaccharide metabolic process	16
B cell activation	16
regulation of neuron death	16
macromolecule methylation	16
stress-activated protein kinase signaling cascade	16
protein modification by small protein removal	16
purine ribonucleoside triphosphate metabolic process	16
regulation of autophagy	16
regulation of ERK1 and ERK2 cascade	16
ribonucleoside triphosphate metabolic process	16
purine nucleoside triphosphate metabolic process	16
protein processing	16
receptor-mediated endocytosis	16
regulation of actin cytoskeleton organization	16
regulation of MAP kinase activity	16
positive regulation of leukocyte activation	16
lipid localization	16
peptidyl-tyrosine phosphorylation	16
peptidyl-tyrosine modification	16
positive regulation of cell adhesion	16
regulation of endopeptidase activity	16
protein localization to cell periphery	16
microtubule-based movement	16
cell differentiation in spinal cord	15
neuron fate commitment	15
axon extension	15
renal system process	15
peptidyl-threonine phosphorylation	15
positive regulation of leukocyte migration	15
response to ammonium ion	15
formation of primary germ layer	15
cellular response to starvation	15
cyclic nucleotide metabolic process	15
neuron projection extension	15
regulation of cell division	15
cardiac chamber development	15
internal protein amino acid acetylation	15
homophilic cell adhesion via plasma membrane adhesion molecules	15
regulation of axonogenesis	15
cytokinesis	15
response to heat	15
response to BMP	15
cellular response to BMP stimulus	15
regulation of signal transduction by p53 class mediator	15
cartilage development	15
steroid biosynthetic process	15
antigen processing and presentation of peptide antigen	15
chromatin assembly or disassembly	15
regulation of viral process	15
