Molecular function	Number of genes
guanyl ribonucleotide binding	56
guanyl nucleotide binding	56
GTP binding	55
purine ribonucleoside binding	55
purine nucleoside binding	55
ribonucleoside binding	55
nucleoside binding	55
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	55
transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	49
GTPase activity	47
proximal promoter sequence-specific DNA binding	41
RNA polymerase II proximal promoter sequence-specific DNA binding	40
protein heterodimerization activity	37
G-protein coupled receptor binding	36
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	35
cofactor binding	34
ion channel activity	32
substrate-specific channel activity	32
channel activity	32
passive transmembrane transporter activity	32
receptor ligand activity	32
ATPase activity	30
endopeptidase activity	29
metal ion transmembrane transporter activity	28
transcription coactivator activity	27
ion gated channel activity	25
gated channel activity	25
cation channel activity	23
ATPase activity, coupled	23
transcription corepressor activity	22
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	22
active transmembrane transporter activity	22
transferase activity, transferring glycosyl groups	21
anion transmembrane transporter activity	21
iron ion binding	20
transcription factor activity, RNA polymerase II transcription factor binding	20
histone binding	20
structural constituent of cytoskeleton	19
heme binding	19
tetrapyrrole binding	19
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	19
amide binding	19
tubulin binding	19
transferase activity, transferring hexosyl groups	18
serine-type endopeptidase activity	18
peptide binding	18
serine-type peptidase activity	18
serine hydrolase activity	18
ubiquitin protein ligase binding	18
ubiquitin-like protein ligase binding	18
monovalent inorganic cation transmembrane transporter activity	18
enhancer binding	17
modification-dependent protein binding	17
ligand-gated ion channel activity	17
ligand-gated channel activity	17
sulfur compound binding	17
cell adhesion molecule binding	17
actin binding	17
monooxygenase activity	16
secondary active transmembrane transporter activity	16
Ras guanyl-nucleotide exchange factor activity	16
cytokine receptor binding	16
guanyl-nucleotide exchange factor activity	16
calmodulin binding	16
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	15
RNA polymerase II transcription cofactor activity	15
chromatin DNA binding	15
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	15
methyltransferase activity	15
transferase activity, transferring one-carbon groups	15
carbohydrate binding	15
catalytic activity, acting on RNA	15
ubiquitin-protein transferase activity	15
ubiquitin-like protein transferase activity	15
microtubule binding	15
oxygen binding	14
enhancer sequence-specific DNA binding	14
calcium ion transmembrane transporter activity	14
UDP-glycosyltransferase activity	14
magnesium ion binding	14
voltage-gated ion channel activity	14
voltage-gated channel activity	14
glycosaminoglycan binding	14
cytokine activity	14
nucleoside-triphosphatase regulator activity	14
core promoter binding	13
Rho GTPase binding	13
lyase activity	13
organic acid binding	13
protein kinase regulator activity	13
kinase regulator activity	13
organic anion transmembrane transporter activity	13
transferase activity, transferring acyl groups	13
coenzyme binding	13
phosphoric ester hydrolase activity	13
enzyme inhibitor activity	13
histone deacetylase binding	12
ligand-gated cation channel activity	12
