Biological Process	n
pattern specification process	19
regionalization	17
embryonic organ development	16
embryonic organ morphogenesis	14
regulation of cell morphogenesis	14
anterior/posterior pattern specification	13
cell fate commitment	13
axon development	12
axonogenesis	12
appendage development	11
cell growth	11
gland development	11
limb development	11
maintenance of cell number	11
ncRNA processing	11
peptidyl-serine modification	11
regulation of peptide secretion	11
regulation of protein secretion	11
stem cell population maintenance	11
calcium ion homeostasis	10
cellular calcium ion homeostasis	10
cellular divalent inorganic cation homeostasis	10
divalent inorganic cation homeostasis	10
muscle tissue development	10
negative regulation of cell cycle process	10
organic anion transport	10
peptidyl-serine phosphorylation	10
regulation of Wnt signaling pathway	10
response to peptide	10
ribonucleoprotein complex biogenesis	10
signal release	10
skeletal system development	10
striated muscle tissue development	10
axon guidance	9
canonical Wnt signaling pathway	9
cellular response to peptide	9
DNA conformation change	9
epithelial tube morphogenesis	9
hormone secretion	9
hormone transport	9
in utero embryonic development	9
methylation	9
mitochondrial transport	9
muscle organ development	9
negative regulation of transport	9
neuron projection guidance	9
nucleoside phosphate biosynthetic process	9
nucleotide biosynthetic process	9
positive regulation of catabolic process	9
positive regulation of establishment of protein localization	9
protein maturation	9
regulation of anatomical structure size	9
regulation of body fluid levels	9
regulation of cell cycle phase transition	9
regulation of cell growth	9
regulation of DNA binding transcription factor activity	9
regulation of neuron projection development	9
response to peptide hormone	9
sensory organ morphogenesis	9
stem cell differentiation	9
activation of innate immune response	8
appendage morphogenesis	8
calcium ion transport	8
cell fate specification	8
cell-cell adhesion via plasma-membrane adhesion molecules	8
cellular response to drug	8
cellular response to peptide hormone stimulus	8
developmental growth involved in morphogenesis	8
divalent inorganic cation transport	8
divalent metal ion transport	8
fatty acid metabolic process	8
innate immune response-activating signal transduction	8
limb morphogenesis	8
lipid localization	8
organic hydroxy compound metabolic process	8
positive regulation of cellular protein localization	8
positive regulation of defense response	8
positive regulation of innate immune response	8
positive regulation of protein transport	8
proteasomal protein catabolic process	8
proteasome-mediated ubiquitin-dependent protein catabolic process	8
protein modification by small protein removal	8
regulation of axonogenesis	8
regulation of cell morphogenesis involved in differentiation	8
regulation of developmental growth	8
regulation of DNA metabolic process	8
regulation of hormone secretion	8
regulation of innate immune response	8
regulation of small molecule metabolic process	8
response to acid chemical	8
RNA catabolic process	8
calcium ion transmembrane transport	7
camera-type eye development	7
cellular response to acid chemical	7
central nervous system neuron differentiation	7
chromosome segregation	7
digestive system development	7
endocrine system development	7
endomembrane system organization	7
epidermis development	7
epithelial cell proliferation	7
eye development	7
gastrulation	7
