Molecular function	n
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	18
proximal promoter sequence-specific DNA binding	14
RNA polymerase II proximal promoter sequence-specific DNA binding	14
transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	14
GTP binding	12
guanyl nucleotide binding	12
guanyl ribonucleotide binding	12
nucleoside binding	12
purine nucleoside binding	12
purine ribonucleoside binding	12
ribonucleoside binding	12
cofactor binding	10
GTPase activity	10
transcription coactivator activity	10
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	10
ATPase activity	9
ATPase activity, coupled	9
protein heterodimerization activity	9
catalytic activity, acting on RNA	8
structural constituent of cytoskeleton	8
active transmembrane transporter activity	7
coenzyme binding	7
endopeptidase activity	7
transcription corepressor activity	7
ubiquitin-like protein transferase activity	7
ubiquitin-protein transferase activity	7
cell adhesion molecule binding	6
enhancer binding	6
enhancer sequence-specific DNA binding	6
G-protein coupled receptor binding	6
guanyl-nucleotide exchange factor activity	6
methyltransferase activity	6
Ras guanyl-nucleotide exchange factor activity	6
transcription factor activity, RNA polymerase II transcription factor binding	6
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	6
transferase activity, transferring one-carbon groups	6
ubiquitin protein ligase activity	6
ubiquitin-like protein ligase activity	6
amide binding	5
anion transmembrane transporter activity	5
cadherin binding	5
channel activity	5
helicase activity	5
histone deacetylase binding	5
ion channel activity	5
lyase activity	5
metal ion transmembrane transporter activity	5
modification-dependent protein binding	5
monovalent inorganic cation transmembrane transporter activity	5
mRNA binding	5
nuclease activity	5
oxidoreductase activity, acting on CH-OH group of donors	5
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	5
passive transmembrane transporter activity	5
phosphoric ester hydrolase activity	5
Rho GTPase binding	5
ribonucleoprotein complex binding	5
RNA polymerase II distal enhancer sequence-specific DNA binding	5
RNA polymerase II transcription cofactor activity	5
secondary active transmembrane transporter activity	5
substrate-specific channel activity	5
sulfur compound binding	5
tubulin binding	5
actin binding	4
ATPase activity, coupled to movement of substances	4
carbohydrate binding	4
catalytic activity, acting on DNA	4
endonuclease activity	4
glycosaminoglycan binding	4
histone binding	4
magnesium ion binding	4
monooxygenase activity	4
mRNA 3'-UTR binding	4
nucleosome binding	4
peptide binding	4
polyubiquitin modification-dependent protein binding	4
receptor ligand activity	4
S-adenosylmethionine-dependent methyltransferase activity	4
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	4
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	4
transferase activity, transferring acyl groups	4
transferase activity, transferring acyl groups other than amino-acyl groups	4
transferase activity, transferring glycosyl groups	4
acetyltransferase activity	3
antioxidant activity	3
antiporter activity	3
ATP-dependent helicase activity	3
calcium ion transmembrane transporter activity	3
calmodulin binding	3
carbon-oxygen lyase activity	3
catalytic activity, acting on a tRNA	3
cation channel activity	3
chromatin DNA binding	3
core promoter binding	3
cysteine-type peptidase activity	3
drug transmembrane transporter activity	3
exonuclease activity	3
gated channel activity	3
growth factor activity	3
heparin binding	3
ion gated channel activity	3
isomerase activity	3
ligand-gated channel activity	3
ligand-gated ion channel activity	3
lipid transporter activity	3
metalloendopeptidase activity	3
metallopeptidase activity	3
microtubule binding	3
NAD binding	3
organic anion transmembrane transporter activity	3
oxidoreductase activity, acting on NAD(P)H	3
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	3
oxidoreductase activity, acting on peroxide as acceptor	3
oxidoreductase activity, acting on the CH-CH group of donors	3
peroxidase activity	3
phosphatase binding	3
phospholipid binding	3
phosphoric diester hydrolase activity	3
purine NTP-dependent helicase activity	3
Rab GTPase binding	3
ribosome binding	3
RNA methyltransferase activity	3
RNA polymerase binding	3
RNA polymerase II transcription coactivator activity	3
RNA polymerase II transcription factor binding	3
serine hydrolase activity	3
serine-type endopeptidase activity	3
serine-type peptidase activity	3
sodium ion transmembrane transporter activity	3
symporter activity	3
