tissue	Number of genes
Testis	184
Lung	177
Pituitary	176
Breast - Mammary Tissue	175
Nerve - Tibial	175
Thyroid	175
Fallopian Tube	174
Prostate	173
Vagina	172
Cervix - Endocervix	171
Uterus	171
Bladder	170
Adipose - Subcutaneous	169
Artery - Aorta	169
Brain - Hypothalamus	168
Skin - Not Sun Exposed (Suprapubic)	168
Small Intestine - Terminal Ileum	168
Artery - Coronary	167
Cervix - Ectocervix	167
Colon - Sigmoid	167
Adipose - Visceral (Omentum)	166
Artery - Tibial	166
Esophagus - Gastroesophageal Junction	166
Ovary	166
Brain - Spinal cord (cervical c-1)	165
Colon - Transverse	165
Minor Salivary Gland	165
Skin - Sun Exposed (Lower leg)	165
Brain - Cerebellum	164
Kidney - Cortex	164
Brain - Cortex	163
Esophagus - Muscularis	163
Esophagus - Mucosa	162
Brain - Nucleus accumbens (basal ganglia)	161
Spleen	161
Brain - Caudate (basal ganglia)	160
Brain - Cerebellar Hemisphere	160
Brain - Frontal Cortex (BA9)	160
Cells - Transformed fibroblasts	160
Stomach	158
Brain - Amygdala	155
Brain - Anterior cingulate cortex (BA24)	154
Brain - Hippocampus	154
Brain - Substantia nigra	153
Heart - Atrial Appendage	153
Brain - Putamen (basal ganglia)	149
Pancreas	149
Adrenal Gland	148
Cells - EBV-transformed lymphocytes	142
Liver	142
Muscle - Skeletal	142
Heart - Left Ventricle	134
Whole Blood	118
