Biological Process	n
pattern specification process	15
positive regulation of nervous system development	14
forebrain development	13
positive regulation of neurogenesis	13
regulation of cell morphogenesis	13
skeletal system development	13
embryonic organ development	12
peptidyl-serine modification	12
regulation of body fluid levels	12
synapse organization	12
cell fate commitment	11
embryonic organ morphogenesis	11
epithelial tube morphogenesis	11
peptidyl-serine phosphorylation	11
regionalization	11
developmental maturation	10
fatty acid metabolic process	10
regulation of neuron projection development	10
anterior/posterior pattern specification	9
axon development	9
axonogenesis	9
blood coagulation	9
central nervous system neuron differentiation	9
coagulation	9
connective tissue development	9
gland development	9
hemostasis	9
mesenchyme development	9
organic anion transport	9
positive regulation of cell projection organization	9
positive regulation of neuron differentiation	9
regulation of cell shape	9
regulation of chemotaxis	9
sensory organ morphogenesis	9
axon guidance	8
covalent chromatin modification	8
histone modification	8
muscle cell differentiation	8
muscle tissue development	8
negative regulation of cell development	8
neuron projection guidance	8
protein-containing complex disassembly	8
regulation of developmental growth	8
regulation of lipid metabolic process	8
reproductive structure development	8
reproductive system development	8
response to peptide	8
stem cell differentiation	8
striated muscle tissue development	8
synapse assembly	8
activation of protein kinase activity	7
anatomical structure maturation	7
canonical Wnt signaling pathway	7
cardiocyte differentiation	7
cartilage development	7
cell maturation	7
divalent inorganic cation transport	7
divalent metal ion transport	7
ear development	7
epidermis development	7
eye development	7
negative regulation of cell cycle process	7
negative regulation of nervous system development	7
negative regulation of neurogenesis	7
ossification	7
positive regulation of cell cycle	7
positive regulation of neuron projection development	7
positive regulation of protein serine/threonine kinase activity	7
protein-DNA complex subunit organization	7
Ras protein signal transduction	7
regulation of anatomical structure size	7
regulation of binding	7
regulation of cell cycle phase transition	7
regulation of cell morphogenesis involved in differentiation	7
regulation of DNA binding transcription factor activity	7
regulation of mitotic cell cycle phase transition	7
respiratory system development	7
response to peptide hormone	7
response to steroid hormone	7
response to xenobiotic stimulus	7
skeletal system morphogenesis	7
skin development	7
striated muscle cell differentiation	7
telencephalon development	7
urogenital system development	7
anion transmembrane transport	6
calcium ion transport	6
camera-type eye development	6
cardiac muscle tissue development	6
cell chemotaxis	6
cell fate specification	6
cellular response to drug	6
cellular response to peptide	6
circadian rhythm	6
epidermal cell differentiation	6
extracellular matrix organization	6
extracellular structure organization	6
in utero embryonic development	6
keratinocyte differentiation	6
lung development	6
maintenance of cell number	6
mitochondrial transport	6
mRNA processing	6
muscle organ development	6
negative regulation of neuron differentiation	6
negative regulation of transport	6
neural tube development	6
neutrophil mediated immunity	6
peptidyl-tyrosine modification	6
peptidyl-tyrosine phosphorylation	6
positive regulation of catabolic process	6
positive regulation of cell morphogenesis involved in differentiation	6
positive regulation of cellular catabolic process	6
positive regulation of cellular protein localization	6
positive regulation of DNA binding transcription factor activity	6
positive regulation of MAP kinase activity	6
positive regulation of proteolysis	6
proteasomal protein catabolic process	6
proteasome-mediated ubiquitin-dependent protein catabolic process	6
protein localization to cell periphery	6
protein localization to plasma membrane	6
regulation of actin cytoskeleton organization	6
regulation of actin filament-based process	6
regulation of cellular component size	6
regulation of GTPase activity	6
regulation of MAP kinase activity	6
regulation of organ morphogenesis	6
regulation of protein localization to cell periphery	6
regulation of protein localization to membrane	6
regulation of protein localization to plasma membrane	6
respiratory tube development	6
response to ammonium ion	6
response to extracellular stimulus	6
response to nutrient levels	6
response to oxidative stress	6
response to radiation	6
response to temperature stimulus	6
rhythmic process	6
second-messenger-mediated signaling	6
signal transduction by p53 class mediator	6
stem cell population maintenance	6
stem cell proliferation	6
actin filament organization	5
aging	5
ameboidal-type cell migration	5
appendage development	5
autophagy	5
B cell activation	5
bone development	5
carboxylic acid biosynthetic process	5
carboxylic acid transport	5
cell cycle arrest	5
cell growth	5
cell-cell adhesion via plasma-membrane adhesion molecules	5
cellular process involved in reproduction in multicellular organism	5
cellular response to abiotic stimulus	5
cellular response to environmental stimulus	5
cellular response to peptide hormone stimulus	5
cellular response to steroid hormone stimulus	5
chromatin assembly or disassembly	5
chromatin remodeling	5
coenzyme metabolic process	5
cognition	5
determination of bilateral symmetry	5
determination of left/right symmetry	5
developmental growth involved in morphogenesis	5
divalent inorganic cation homeostasis	5
DNA conformation change	5
ear morphogenesis	5
fat cell differentiation	5
fatty acid derivative metabolic process	5
gliogenesis	5
Golgi vesicle transport	5
heart morphogenesis	5
homophilic cell adhesion via plasma membrane adhesion molecules	5
humoral immune response	5
intracellular receptor signaling pathway	5
kidney development	5
learning or memory	5
leukocyte differentiation	5
leukocyte migration	5
limb development	5
lipid modification	5
locomotory behavior	5
macromolecule methylation	5
mesenchymal cell differentiation	5
methylation	5
midbrain development	5
modification of morphology or physiology of other organism	5
monocarboxylic acid biosynthetic process	5
morphogenesis of a branching epithelium	5
morphogenesis of a branching structure	5
mRNA catabolic process	5
negative regulation of cellular amide metabolic process	5
negative regulation of cellular protein localization	5
negative regulation of organelle organization	5
nephron development	5
neutrophil activation	5
neutrophil activation involved in immune response	5
neutrophil degranulation	5
nucleoside monophosphate metabolic process	5
nucleosome organization	5
organ growth	5
organic acid biosynthetic process	5
organic acid transport	5
organic hydroxy compound metabolic process	5
pallium development	5
peptidyl-lysine modification	5
peptidyl-threonine modification	5
peptidyl-threonine phosphorylation	5
platelet activation	5
positive regulation of cell cycle process	5
positive regulation of cell migration	5
positive regulation of cytokine production	5
positive regulation of establishment of protein localization	5
positive regulation of protein transport	5
positive regulation of response to external stimulus	5
process utilizing autophagic mechanism	5
protein acylation	5
protein alkylation	5
protein autophosphorylation	5
protein methylation	5
protein-DNA complex assembly	5
purine nucleoside monophosphate metabolic process	5
purine ribonucleoside monophosphate metabolic process	5
regulation of autophagy	5
regulation of axon guidance	5
regulation of axonogenesis	5
regulation of canonical Wnt signaling pathway	5
regulation of cell growth	5
regulation of embryonic development	5
regulation of membrane potential	5
regulation of protein binding	5
regulation of small GTPase mediated signal transduction	5
regulation of synapse structure or activity	5
regulation of vesicle-mediated transport	5
regulation of Wnt signaling pathway	5
renal system development	5
response to acid chemical	5
response to light stimulus	5
response to purine-containing compound	5
Rho protein signal transduction	5
ribonucleoside monophosphate metabolic process	5
RNA catabolic process	5
RNA splicing	5
specification of symmetry	5
steroid metabolic process	5
stress-activated protein kinase signaling cascade	5
activation of MAPK activity	4
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	4
alcohol metabolic process	4
axon extension	4
axon extension involved in axon guidance	4
bone morphogenesis	4
branching morphogenesis of an epithelial tube	4
calcium ion homeostasis	4
calcium ion transmembrane transport	4
camera-type eye morphogenesis	4
cAMP-mediated signaling	4
carboxylic acid transmembrane transport	4
cardiac muscle cell differentiation	4
cell cycle checkpoint	4
cell cycle G2/M phase transition	4
cell junction organization	4
cellular calcium ion homeostasis	4
cellular divalent inorganic cation homeostasis	4
cellular protein complex disassembly	4
cellular response to acid chemical	4
cellular response to ammonium ion	4
cellular response to tumor necrosis factor	4
central nervous system neuron development	4
centriole assembly	4
centriole replication	4
centrosome cycle	4
centrosome duplication	4
chromosome segregation	4
cilium assembly	4
cilium organization	4
cyclic-nucleotide-mediated signaling	4
cytokinesis	4
dendrite development	4
determination of heart left/right asymmetry	4
development of primary male sexual characteristics	4
development of primary sexual characteristics	4
developmental cell growth	4
DNA damage checkpoint	4
DNA integrity checkpoint	4
DNA packaging	4
dopaminergic neuron differentiation	4
drug transport	4
embryonic heart tube development	4
embryonic heart tube morphogenesis	4
epithelial cell migration	4
epithelial cell proliferation	4
epithelium migration	4
ERK1 and ERK2 cascade	4
eye morphogenesis	4
forebrain generation of neurons	4
formation of primary germ layer	4
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	4
G2/M transition of mitotic cell cycle	4
gastrulation	4
gene silencing	4
gland morphogenesis	4
