Molecular function	n
transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	16
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	16
GTP binding	13
guanyl nucleotide binding	13
guanyl ribonucleotide binding	13
nucleoside binding	13
proximal promoter sequence-specific DNA binding	13
purine nucleoside binding	13
purine ribonucleoside binding	13
ribonucleoside binding	13
RNA polymerase II proximal promoter sequence-specific DNA binding	13
GTPase activity	11
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	11
G-protein coupled receptor binding	9
transcription coactivator activity	9
active transmembrane transporter activity	8
cofactor binding	8
structural constituent of cytoskeleton	8
anion transmembrane transporter activity	7
guanyl-nucleotide exchange factor activity	7
Ras guanyl-nucleotide exchange factor activity	7
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	7
magnesium ion binding	6
protein heterodimerization activity	6
ATPase activity	5
carbohydrate binding	5
channel activity	5
ion channel activity	5
iron ion binding	5
lyase activity	5
metal ion transmembrane transporter activity	5
organic anion transmembrane transporter activity	5
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5
passive transmembrane transporter activity	5
secondary active transmembrane transporter activity	5
substrate-specific channel activity	5
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	5
actin binding	4
amide binding	4
ATPase activity, coupled	4
ATPase activity, coupled to movement of substances	4
carboxylic acid transmembrane transporter activity	4
cell adhesion molecule binding	4
endopeptidase activity	4
gated channel activity	4
glycosaminoglycan binding	4
heme binding	4
histone binding	4
hormone receptor binding	4
ion gated channel activity	4
ligand-dependent nuclear receptor transcription coactivator activity	4
ligand-gated channel activity	4
ligand-gated ion channel activity	4
monovalent inorganic cation transmembrane transporter activity	4
nuclear hormone receptor binding	4
organic acid transmembrane transporter activity	4
peptide binding	4
Rho GTPase binding	4
RNA polymerase II transcription cofactor activity	4
sulfur compound binding	4
tetrapyrrole binding	4
transcription corepressor activity	4
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	4
transcription factor activity, RNA polymerase II transcription factor binding	4
transferase activity, transferring acyl groups	4
tubulin binding	4
acetyltransferase activity	3
amino acid transmembrane transporter activity	3
anion channel activity	3
antigen binding	3
antiporter activity	3
cadherin binding	3
carboxylic acid binding	3
chromatin DNA binding	3
coenzyme binding	3
drug transmembrane transporter activity	3
extracellular ligand-gated ion channel activity	3
frizzled binding	3
G-protein beta/gamma-subunit complex binding	3
helicase activity	3
heparin binding	3
histone deacetylase binding	3
inorganic anion transmembrane transporter activity	3
L-amino acid transmembrane transporter activity	3
lipid transporter activity	3
methyltransferase activity	3
microtubule binding	3
monooxygenase activity	3
mRNA binding	3
N-methyltransferase activity	3
nucleosome binding	3
organic acid binding	3
oxidoreductase activity, acting on CH-OH group of donors	3
oxidoreductase activity, acting on NAD(P)H	3
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	3
oxygen binding	3
peptide receptor activity	3
phosphatase binding	3
phospholipid binding	3
phosphoric ester hydrolase activity	3
protein methyltransferase activity	3
protein tyrosine kinase activity	3
proteoglycan binding	3
receptor ligand activity	3
S-adenosylmethionine-dependent methyltransferase activity	3
semaphorin receptor activity	3
serine hydrolase activity	3
serine-type endopeptidase activity	3
serine-type peptidase activity	3
signal transducer activity, downstream of receptor	3
signal transducer, downstream of receptor, with serine/threonine kinase activity	3
transferase activity, transferring acyl groups other than amino-acyl groups	3
transferase activity, transferring glycosyl groups	3
transferase activity, transferring one-carbon groups	3
ubiquitin protein ligase activity	3
ubiquitin protein ligase binding	3
ubiquitin-like protein ligase activity	3
ubiquitin-like protein ligase binding	3
ubiquitin-like protein transferase activity	3
ubiquitin-protein transferase activity	3
3',5'-cyclic-GMP phosphodiesterase activity	2
3',5'-cyclic-nucleotide phosphodiesterase activity	2
active ion transmembrane transporter activity	2
adenylate cyclase activity	2
ammonium transmembrane transporter activity	2
arachidonic acid epoxygenase activity	2
arachidonic acid monooxygenase activity	2
arginine N-methyltransferase activity	2
ATPase activity, coupled to transmembrane movement of substances	2
ATPase coupled ion transmembrane transporter activity	2
basal RNA polymerase II transcription machinery binding	2
basal transcription machinery binding	2
beta-tubulin binding	2
calcium ion transmembrane transporter activity	2
calcium-dependent protein binding	2
calmodulin binding	2
cAMP binding	2
cation channel activity	2
cation-transporting ATPase activity	2
chaperone binding	2
chloride channel activity	2
chloride transmembrane transporter activity	2
collagen binding	2
core promoter binding	2
cyclase activity	2
cyclic nucleotide binding	2
cyclic-nucleotide phosphodiesterase activity	2
cytokine activity	2
dioxygenase activity	2
dynein complex binding	2
enhancer binding	2
enzyme inhibitor activity	2
excitatory extracellular ligand-gated ion channel activity	2
exopeptidase activity	2
extracellularly glutamate-gated ion channel activity	2
G-protein coupled peptide receptor activity	2
glucuronosyltransferase activity	2
growth factor binding	2
growth factor receptor binding	2
GTPase activator activity	2
GTPase regulator activity	2
guanylate cyclase activity	2
heparan sulfate proteoglycan binding	2
histone kinase activity	2
kinase regulator activity	2
ligand-gated anion channel activity	2
ligand-gated cation channel activity	2
modification-dependent protein binding	2
molecular adaptor activity	2
monosaccharide binding	2
mRNA 3'-UTR binding	2
N-acetyltransferase activity	2
N-acyltransferase activity	2
neurotransmitter receptor activity	2
neurotransmitter transporter activity	2
nucleoside-triphosphatase regulator activity	2
organic hydroxy compound transmembrane transporter activity	2
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	2
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	2
P-P-bond-hydrolysis-driven transmembrane transporter activity	2
PDZ domain binding	2
peptide N-acetyltransferase activity	2
phosphatidylinositol 3-kinase activity	2
phosphatidylinositol binding	2
phosphatidylinositol bisphosphate kinase activity	2
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	2
phospholipid transporter activity	2
phospholipid-translocating ATPase activity	2
phosphoric diester hydrolase activity	2
phosphorus-oxygen lyase activity	2
primary active transmembrane transporter activity	2
protein binding, bridging	2
protein kinase C activity	2
protein kinase C binding	2
protein kinase regulator activity	2
protein phosphatase binding	2
protein-arginine N-methyltransferase activity	2
proton transmembrane transporter activity	2
Rac GTPase binding	2
Rho guanyl-nucleotide exchange factor activity	2
RNA polymerase binding	2
RNA polymerase core enzyme binding	2
RNA polymerase II core binding	2
RNA polymerase II transcription coactivator activity	2
RNA polymerase II transcription corepressor activity	2
single-stranded DNA binding	2
sodium ion transmembrane transporter activity	2
solute:cation symporter activity	2
steroid hormone receptor binding	2
steroid hydroxylase activity	2
structural constituent of ribosome	2
symporter activity	2
thiolester hydrolase activity	2
transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	2
transcriptional activator activity, RNA polymerase II transcription factor binding	2
transcriptional repressor activity, RNA polymerase II transcription factor binding	2
transferase activity, transferring hexosyl groups	2
translation regulator activity	2
transmitter-gated channel activity	2
transmitter-gated ion channel activity	2
UDP-glycosyltransferase activity	2
vitamin binding	2
voltage-gated cation channel activity	2
voltage-gated channel activity	2
voltage-gated ion channel activity	2
1-phosphatidylinositol-3-kinase activity	1
14-3-3 protein binding	1
3',5'-cyclic-AMP phosphodiesterase activity	1
acetylation-dependent protein binding	1
acetylcholine receptor binding	1
acetylcholine receptor regulator activity	1
acid-thiol ligase activity	1
acidic amino acid transmembrane transporter activity	1
activating transcription factor binding	1
acyl-CoA hydrolase activity	1
adenine nucleotide transmembrane transporter activity	1
ADP transmembrane transporter activity	1
adrenergic receptor binding	1
alcohol dehydrogenase (NADP+) activity	1
alditol:NADP+ 1-oxidoreductase activity	1
aldo-keto reductase (NADP) activity	1
alpha-tubulin binding	1
amino acid binding	1
aminopeptidase activity	1
androgen receptor binding	1
anion:anion antiporter activity	1
antioxidant activity	1
apolipoprotein binding	1
armadillo repeat domain binding	1
AT DNA binding	1
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	1
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	1
AU-rich element binding	1
benzodiazepine receptor activity	1
beta-catenin binding	1
bile acid binding	1
bile acid transmembrane transporter activity	1
C-acyltransferase activity	1
calcium channel activity	1
calcium-transporting ATPase activity	1
calmodulin-dependent protein kinase activity	1
carbohydrate derivative transmembrane transporter activity	1
carbohydrate transmembrane transporter activity	1
carbohydrate:cation symporter activity	1
carbohydrate:proton symporter activity	1
carbon-carbon lyase activity	1
carbon-nitrogen lyase activity	1
carbon-oxygen lyase activity	1
carbonate dehydratase activity	1
carboxy-lyase activity	1
carboxylic ester hydrolase activity	1
catalytic activity, acting on a tRNA	1
catalytic activity, acting on RNA	1
chemoattractant activity	1
chemokine activity	1
chemokine receptor activity	1
chemokine receptor binding	1
co-receptor binding	1
CoA hydrolase activity	1
CoA-ligase activity	1
copper ion binding	1
core promoter sequence-specific DNA binding	1
cullin family protein binding	1
CXCR chemokine receptor binding	1
cyclic nucleotide-gated ion channel activity	1
cyclin-dependent protein kinase activity	1
cyclin-dependent protein serine/threonine kinase activity	1
cysteine-type peptidase activity	1
cytokine receptor activity	1
cytokine receptor binding	1
cytoskeletal adaptor activity	1
dicarboxylic acid transmembrane transporter activity	1
dipeptidase activity	1
disulfide oxidoreductase activity	1
DNA polymerase binding	1
double-stranded RNA binding	1
dynactin binding	1
dynein light intermediate chain binding	1
electron transfer activity	1
endonuclease activity	1
enhancer sequence-specific DNA binding	1
estrogen receptor binding	1
extracellular matrix structural constituent	1
fatty acid ligase activity	1
fibroblast growth factor receptor binding	1
G-protein coupled chemoattractant receptor activity	1
G-protein coupled photoreceptor activity	1
GABA receptor activity	1
GABA receptor binding	1
GABA-A receptor activity	1
GABA-gated chloride ion channel activity	1
GDP binding	1
glucose transmembrane transporter activity	1
glutamate receptor activity	1
glutathione binding	1
glutathione transferase activity	1
glycine binding	1
growth factor activity	1
GTP-Rho binding	1
GTPase activating protein binding	1
H4 histone acetyltransferase activity	1
heat shock protein binding	1
hexose transmembrane transporter activity	1
hijacked molecular function	1
histone acetyltransferase activity	1
histone methyltransferase activity	1
HMG box domain binding	1
hormone binding	1
hydro-lyase activity	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	1
inhibitory extracellular ligand-gated ion channel activity	1
integrin binding	1
intermediate filament binding	1
intracellular cyclic nucleotide activated cation channel activity	1
intracellular ligand-gated ion channel activity	1
ion antiporter activity	1
ionotropic glutamate receptor activity	1
isomerase activity	1
kinase activator activity	1
kinase inhibitor activity	1
L-ascorbic acid binding	1
L-glutamate transmembrane transporter activity	1
ligand-dependent nuclear receptor binding	1
ligand-gated calcium channel activity	1
ligase activity	1
ligase activity, forming carbon-sulfur bonds	1
lipid phosphatase activity	1
lipopeptide binding	1
long-chain fatty acid-CoA ligase activity	1
lysine N-methyltransferase activity	1
lysine-acetylated histone binding	1
magnesium ion transmembrane transporter activity	1
mannose binding	1
MAP kinase activity	1
MAP kinase kinase activity	1
MAP kinase kinase kinase activity	1
metalloaminopeptidase activity	1
metalloendopeptidase activity	1
metalloexopeptidase activity	1
metallopeptidase activity	1
methyl-CpG binding	1
methylated histone binding	1
methylation-dependent protein binding	1
miRNA binding	1
mitogen-activated protein kinase kinase binding	1
modified amino acid binding	1
molecular carrier activity	1
monocarboxylic acid binding	1
monocarboxylic acid transmembrane transporter activity	1
monosaccharide transmembrane transporter activity	1
mRNA 3'-UTR AU-rich region binding	1
mRNA 5'-UTR binding	1
NAD binding	1
NAD+ ADP-ribosyltransferase activity	1
NADH dehydrogenase (quinone) activity	1
NADH dehydrogenase (ubiquinone) activity	1
NADH dehydrogenase activity	1
neuropeptide receptor activity	1
neuropeptide receptor binding	1
neuropeptide Y receptor activity	1
neurotransmitter binding	1
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	1
neurotransmitter receptor regulator activity	1
non-membrane spanning protein tyrosine kinase activity	1
nuclease activity	1
nucleobase-containing compound transmembrane transporter activity	1
nucleoside-diphosphatase activity	1
nucleosomal DNA binding	1
nucleotide diphosphatase activity	1
nucleotide transmembrane transporter activity	1
oligopeptide binding	1
oligosaccharide binding	1
organic cation transmembrane transporter activity	1
organophosphate ester transmembrane transporter activity	1
oxidoreductase activity, acting on a sulfur group of donors	1
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	1
oxidoreductase activity, acting on CH or CH2 groups	1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	1
oxidoreductase activity, acting on peroxide as acceptor	1
oxidoreductase activity, acting on the aldehyde or oxo group of donors	1
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	1
oxidoreductase activity, oxidizing metal ions	1
oxygen carrier activity	1
palmitoyl hydrolase activity	1
palmitoyl-(protein) hydrolase activity	1
pattern binding	1
peptide alpha-N-acetyltransferase activity	1
peptide antigen binding	1
peptide hormone binding	1
peptide-lysine-N-acetyltransferase activity	1
peptidoglycan binding	1
peroxidase activity	1
phosphatase activity	1
phosphate ion transmembrane transporter activity	1
phosphatidate phosphatase activity	1
phosphatidylinositol 3-kinase binding	1
phosphatidylinositol bisphosphate binding	1
phosphatidylinositol kinase activity	1
phosphatidylinositol phosphate binding	1
phosphatidylinositol-3,5-bisphosphate binding	1
phosphoprotein binding	1
phosphotyrosine residue binding	1
photoreceptor activity	1
platelet-derived growth factor binding	1
platelet-derived growth factor receptor binding	1
polysaccharide binding	1
postsynaptic neurotransmitter receptor activity	1
potassium channel activity	1
potassium ion transmembrane transporter activity	1
profilin binding	1
protease binding	1
protein C-terminus binding	1
protein kinase activator activity	1
protein kinase inhibitor activity	1
protein phosphatase 2A binding	1
protein phosphorylated amino acid binding	1
protein serine/threonine/tyrosine kinase activity	1
protein-lysine N-methyltransferase activity	1
proton-transporting ATP synthase activity, rotational mechanism	1
purine nucleotide transmembrane transporter activity	1
purine ribonucleotide transmembrane transporter activity	1
pyridoxal phosphate binding	1
quaternary ammonium group transmembrane transporter activity	1
Rab GTPase binding	1
Rac guanyl-nucleotide exchange factor activity	1
racemase and epimerase activity	1
Ral GTPase binding	1
receptor inhibitor activity	1
regulatory RNA binding	1
retinoic acid receptor binding	1
RNA polymerase II activating transcription factor binding	1
RNA polymerase II core promoter sequence-specific DNA binding	1
RNA polymerase II distal enhancer sequence-specific DNA binding	1
RNA polymerase II transcription factor binding	1
scaffold protein binding	1
SH3/SH2 adaptor activity	1
signaling adaptor activity	1
single-stranded RNA binding	1
sodium channel activity	1
sodium:phosphate symporter activity	1
solute:proton symporter activity	1
solute:sodium symporter activity	1
steroid binding	1
steroid dehydrogenase activity	1
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	1
structural constituent of epidermis	1
sugar transmembrane transporter activity	1
tau-protein kinase activity	1
thiol-dependent ubiquitinyl hydrolase activity	1
Toll-like receptor binding	1
transaminase activity	1
transcription cofactor binding	1
transferase activity, transferring alkyl or aryl (other than methyl) groups	1
transferase activity, transferring amino-acyl groups	1
transferase activity, transferring nitrogenous groups	1
transferase activity, transferring pentosyl groups	1
transmembrane receptor protein kinase activity	1
transmembrane receptor protein tyrosine kinase activity	1
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	1
tRNA binding	1
ubiquitin-like protein-specific protease activity	1
ubiquitin-protein transferase regulator activity	1
ubiquitin-ubiquitin ligase activity	1
ubiquitinyl hydrolase activity	1
very long-chain fatty acid-CoA ligase activity	1
virus receptor activity	1
vitamin B6 binding	1
voltage-gated potassium channel activity	1
voltage-gated sodium channel activity	1
volume-sensitive anion channel activity	1
Wnt-activated receptor activity	1
Wnt-protein binding	1
