tissue	Number of genes
Testis	180
Pituitary	165
Fallopian Tube	164
Cervix - Endocervix	162
Nerve - Tibial	162
Brain - Cerebellum	160
Breast - Mammary Tissue	158
Brain - Cerebellar Hemisphere	157
Ovary	157
Prostate	157
Lung	156
Uterus	156
Cervix - Ectocervix	155
Bladder	154
Vagina	154
Thyroid	152
Adipose - Subcutaneous	151
Adipose - Visceral (Omentum)	151
Skin - Sun Exposed (Lower leg)	151
Small Intestine - Terminal Ileum	151
Artery - Coronary	149
Artery - Tibial	149
Brain - Cortex	148
Minor Salivary Gland	148
Skin - Not Sun Exposed (Suprapubic)	148
Artery - Aorta	147
Brain - Frontal Cortex (BA9)	146
Colon - Sigmoid	146
Spleen	146
Brain - Spinal cord (cervical c-1)	145
Esophagus - Mucosa	144
Brain - Nucleus accumbens (basal ganglia)	143
Esophagus - Gastroesophageal Junction	143
Esophagus - Muscularis	143
Kidney - Cortex	143
Stomach	143
Brain - Caudate (basal ganglia)	142
Brain - Hypothalamus	142
Brain - Anterior cingulate cortex (BA24)	141
Colon - Transverse	139
Adrenal Gland	138
Brain - Hippocampus	138
Cells - Transformed fibroblasts	137
Brain - Amygdala	136
Brain - Substantia nigra	135
Brain - Putamen (basal ganglia)	134
Heart - Atrial Appendage	129
Liver	123
Cells - EBV-transformed lymphocytes	119
Pancreas	119
Heart - Left Ventricle	110
Muscle - Skeletal	109
Whole Blood	97
