query	subject	evalue	alnlength	identity	identical	mismatches	qframe	sframe	bframe
ENSG00000001630	ENSG00000010404	2.46e-36	53	83.019	44	9	2	-3	2/-3
ENSG00000003509	ENSG00000197296	7.24e-43	96	81.25	78	18	-2	3	-2/3
ENSG00000004059	ENSG00000143761	5.5e-97	178	81.461	145	33	2	1	2/1
ENSG00000006116	ENSG00000166862	5.47e-132	175	84.571	148	27	3	2	3/2
ENSG00000005073	ENSG00000128713	3.68e-71	86	81.395	70	16	1	2	1/2
ENSG00000005073	ENSG00000123388	3.2e-61	83	83.133	69	14	1	3	1/3
ENSG00000004975	ENSG00000161202	0	131	91.603	120	11	2	3	2/3
ENSG00000004975	ENSG00000107404	0	131	81.679	107	24	2	1	2/1
ENSG00000007520	ENSG00000007516	2.64e-42	67	100	67	0	-1	1	-1/1
ENSG00000007520	ENSG00000007516	1.19e-36	67	100	67	0	2	-2	2/-2
ENSG00000006451	ENSG00000144118	1.07e-71	126	89.683	113	13	3	1	3/1
ENSG00000006451	ENSG00000144118	1.07e-71	126	89.683	113	13	3	2	3/2
ENSG00000010017	ENSG00000141084	2.65e-154	110	83.636	92	18	-2	-1	-2/-1
ENSG00000013588	ENSG00000175782	1.55e-64	53	81.132	43	10	-3	3	-3/3
ENSG00000006047	ENSG00000060138	1.93e-57	98	86.735	85	13	2	1	2/1
ENSG00000011478	ENSG00000138600	2.61e-83	106	81.132	86	20	2	3	2/3
ENSG00000006059	ENSG00000131738	0	386	93.264	360	26	1	3	1/3
ENSG00000006059	ENSG00000094796	0	373	93.834	350	23	1	3	1/3
ENSG00000015568	ENSG00000183054	0	946	100	946	0	-3	-2	-3/-2
ENSG00000015568	ENSG00000169629	0	946	99.683	943	3	-3	-2	-3/-2
ENSG00000050327	ENSG00000213214	0	389	99.486	387	2	2	3	2/3
ENSG00000037965	ENSG00000175879	6.45e-76	101	83.168	84	17	3	2	3/2
ENSG00000049245	ENSG00000139190	6.27e-37	75	88	66	9	2	1	2/1
ENSG00000049245	ENSG00000139190	6.27e-37	75	88	66	9	2	3	2/3
ENSG00000059804	ENSG00000173262	0	523	92.352	483	40	1	2	1/2
ENSG00000059804	ENSG00000173262	0	523	92.352	483	40	1	2	1/2
ENSG00000019549	ENSG00000124216	4.92e-73	113	85.841	97	16	3	2	3/2
ENSG00000048544	ENSG00000146966	4.54e-40	71	83.099	59	12	2	3	2/3
ENSG00000037757	ENSG00000132874	1.16e-47	95	87.368	83	12	-1	-3	-1/-3
ENSG00000088256	ENSG00000156052	0	360	90.278	325	35	3	2	3/2
ENSG00000088256	ENSG00000156049	0	356	81.742	291	65	3	2	3/2
ENSG00000170848	ENSG00000183668	0	446	90.135	402	44	1	2	1/2
ENSG00000081818	ENSG00000113205	3.37e-142	65	89.231	58	7	1	2	1/2
ENSG00000069943	ENSG00000260916	3.26e-73	125	98.4	123	2	-1	2	-1/2
ENSG00000069943	ENSG00000260916	3.26e-73	125	98.4	123	2	-1	1	-1/1
ENSG00000186847	ENSG00000128422	0	312	89.423	279	33	1	3	1/3
ENSG00000186847	ENSG00000186832	0	312	88.141	275	37	1	3	1/3
ENSG00000071655	ENSG00000267059	1.73e-115	182	100	182	0	-1	-3	-1/-3
ENSG00000127663	ENSG00000107077	0	357	80.952	289	68	3	1	3/1
ENSG00000112852	ENSG00000120327	0	124	95.161	118	6	-2	-1	-2/-1
ENSG00000112852	ENSG00000272674	0	124	89.516	111	13	-2	-1	-2/-1
ENSG00000077080	ENSG00000136518	0	363	87.328	317	46	3	1	3/1
ENSG00000077080	ENSG00000136518	0	363	87.328	317	46	3	1	3/1
ENSG00000078237	ENSG00000170088	1.93e-35	56	82.143	46	10	1	3	1/3
ENSG00000073598	ENSG00000073536	5.54e-140	151	99.338	150	1	2	-3	2/-3
ENSG00000068976	ENSG00000100994	0	833	84.154	701	132	1	3	1/3
ENSG00000068971	ENSG00000154001	0	283	81.625	231	52	2	3	2/3
ENSG00000068971	ENSG00000154001	0	283	81.625	231	52	2	1	2/1
ENSG00000087303	ENSG00000087302	0	236	98.729	233	3	3	-1	3/-1
ENSG00000100030	ENSG00000102882	0	346	88.15	305	41	1	2	1/2
ENSG00000083812	ENSG00000249471	0	516	90.891	469	47	2	3	2/3
ENSG00000099940	ENSG00000171208	5.68e-35	80	81.25	65	15	3	-3	3/-3
ENSG00000099940	ENSG00000231925	3.05e-35	77	81.818	63	14	3	-1	3/-1
ENSG00000100345	ENSG00000133026	0	700	83.286	583	117	1	2	1/2
ENSG00000099800	ENSG00000178297	1.83e-55	105	100	105	0	-2	2	-2/2
ENSG00000099995	ENSG00000187860	4.63e-26	51	100	51	0	2	-2	2/-2
ENSG00000099995	ENSG00000187860	4.63e-26	51	100	51	0	2	-2	2/-2
ENSG00000243811	ENSG00000128394	0	246	88.211	217	29	3	1	3/1
ENSG00000243811	ENSG00000244509	3.73e-152	119	82.353	98	21	2	1	2/1
ENSG00000100836	ENSG00000258643	7.71e-108	195	100	195	0	2	1	2/1
ENSG00000100836	ENSG00000258643	7.71e-108	195	100	195	0	2	1	2/1
ENSG00000100580	ENSG00000178665	3.16e-45	64	87.5	56	8	1	-1	1/-1
ENSG00000090581	ENSG00000059145	0	302	100	302	0	2	-2	2/-2
ENSG00000090581	ENSG00000059145	6.02e-178	302	100	302	0	3	-3	3/-3
ENSG00000023608	ENSG00000100784	2.08e-39	66	80.303	53	13	3	-1	3/-1
ENSG00000100314	ENSG00000100319	5.88e-83	139	97.122	135	4	-1	1	-1/1
ENSG00000099385	ENSG00000106635	3.15e-29	55	87.273	48	7	3	2	3/2
ENSG00000101210	ENSG00000156508	0	226	82.301	186	40	-2	-3	-2/-3
ENSG00000100554	ENSG00000134001	1.7e-51	84	100	84	0	1	-3	1/-3
ENSG00000100554	ENSG00000134001	9.01e-48	84	100	84	0	2	-1	2/-1
ENSG00000100554	ENSG00000134001	1.14e-46	84	100	84	0	-1	2	-1/2
ENSG00000101405	ENSG00000101200	2.33e-54	107	80.374	86	21	-2	-1	-2/-1
ENSG00000090470	ENSG00000161671	2.32e-46	70	88.571	62	8	-1	-2	-1/-2
ENSG00000090470	ENSG00000158270	2.11e-45	72	84.722	61	11	-1	-2	-1/-2
ENSG00000100412	ENSG00000100413	0	171	100	171	0	-2	2	-2/2
