query	subject	evalue	alnlength	identity	identical	mismatches	qframe	sframe
CCDS38.2|Hs108|chr1	CCDS57965.1|Hs108|chr1	2.3e-68	106	90.566	96	10	-3	-1
CCDS132.1|Hs108|chr1	CCDS81261.1|Hs108|chr1	3.1e-164	125	100	125	0	1	2
CCDS132.1|Hs108|chr1	CCDS81261.1|Hs108|chr1	2.96e-142	125	100	125	0	-1	-3
CCDS132.1|Hs108|chr1	CCDS81261.1|Hs108|chr1	1.16e-109	125	100	125	0	-2	-1
CCDS716.1|Hs108|chr1	CCDS55510.1|Hs108|chrX	5.42e-83	102	96.078	98	4	2	1
CCDS2117.1|Hs108|chr2	CCDS34975.1|Hs108|chr9	2.67e-124	134	88.806	119	15	2	1
CCDS2763.1|Hs108|chr3	CCDS77733.1|Hs108|chr3	8.77e-110	101	99.01	100	1	-3	-1
CCDS2950.1|Hs108|chr3	CCDS63712.1|Hs108|chr3	0	179	100	179	0	-1	-2
CCDS3265.1|Hs108|chr3	CCDS77867.1|Hs108|chr3	0	128	100	128	0	-1	-3
CCDS3569.1|Hs108|chr4	CCDS56334.1|Hs108|chr4	2.45e-77	111	99.099	110	1	-1	-2
CCDS3569.1|Hs108|chr4	CCDS56334.1|Hs108|chr4	1.53e-65	111	99.099	110	1	-2	-3
CCDS5925.2|Hs108|chr7	CCDS64806.1|Hs108|chr7	0	141	97.163	137	4	-1	-3
CCDS6914.1|Hs108|chr9	CCDS43885.1|Hs108|chr9	0	140	100	140	0	3	1
CCDS6914.1|Hs108|chr9	CCDS43885.1|Hs108|chr9	0	140	100	140	0	-3	-2
CCDS6914.1|Hs108|chr9	CCDS43885.1|Hs108|chr9	0	140	100	140	0	-1	-3
CCDS6914.1|Hs108|chr9	CCDS43885.1|Hs108|chr9	3.15e-177	140	100	140	0	-2	-1
CCDS6914.1|Hs108|chr9	CCDS43886.1|Hs108|chr9	3.15e-177	140	100	140	0	3	1
CCDS6914.1|Hs108|chr9	CCDS43886.1|Hs108|chr9	1.19e-173	140	100	140	0	-3	-2
CCDS6914.1|Hs108|chr9	CCDS43886.1|Hs108|chr9	5.22e-168	140	100	140	0	-1	-3
CCDS6914.1|Hs108|chr9	CCDS43886.1|Hs108|chr9	2.88e-161	140	100	140	0	-2	-1
CCDS6960.1|Hs108|chr9	CCDS65176.1|Hs108|chr9	0	176	99.432	175	1	1	3
CCDS8162.1|Hs108|chr11	CCDS58150.1|Hs108|chr11	0	103	94.175	97	6	1	2
CCDS8659.2|Hs108|chr12	CCDS44835.1|Hs108|chr12	3.57e-179	121	99.174	120	1	3	2
CCDS11193.1|Hs108|chr17	CCDS45625.1|Hs108|chr17	7.04e-134	103	100	103	0	2	3
CCDS11193.1|Hs108|chr17	CCDS45625.1|Hs108|chr17	8.65e-116	103	100	103	0	-1	-3
CCDS11193.1|Hs108|chr17	CCDS45625.1|Hs108|chr17	1.33e-101	103	100	103	0	1	2
CCDS12206.1|Hs108|chr19	CCDS62529.1|Hs108|chr19	0	105	100	105	0	1	3
CCDS12206.1|Hs108|chr19	CCDS62529.1|Hs108|chr19	0	105	100	105	0	-2	-3
CCDS12206.1|Hs108|chr19	CCDS62529.1|Hs108|chr19	0	105	100	105	0	3	2
CCDS12232.1|Hs108|chr19	CCDS32904.1|Hs108|chr19	3.08e-163	117	99.145	116	1	-1	-3
CCDS12775.1|Hs108|chr19	CCDS59409.1|Hs108|chr19	0	101	100	101	0	-2	-1
CCDS12775.1|Hs108|chr19	CCDS59409.1|Hs108|chr19	0	101	100	101	0	1	2
CCDS12998.1|Hs108|chr20	CCDS82588.1|Hs108|chr20	2.07e-176	103	100	103	0	-1	-2
CCDS13000.2|Hs108|chr20	CCDS82588.1|Hs108|chr20	2.75e-176	103	100	103	0	-1	-2
CCDS13536.1|Hs108|chr20	CCDS82638.1|Hs108|chr20	4.44e-111	114	100	114	0	2	3
CCDS14564.1|Hs108|chrX	CCDS59174.1|Hs108|chrX	1.45e-177	101	95.05	96	5	3	1
CCDS14661.1|Hs108|chrX	CCDS55510.1|Hs108|chrX	1.34e-84	102	100	102	0	2	1
CCDS30585.1|Hs108|chr1	CCDS44056.1|Hs108|chr1	6.29e-71	103	100	103	0	-2	-1
CCDS30586.1|Hs108|chr1	CCDS30585.1|Hs108|chr1	5.24e-64	109	96.33	105	4	-1	-2
CCDS30927.1|Hs108|chr1	CCDS72963.1|Hs108|chr1	0	131	98.473	129	2	-3	-1
