query	subject	evalue	alnlength	identity	identical	mismatches	qframe	sframe	bframe
ENSG00000004059	ENSG00000143761	5.5e-97	178	81.461	145	33	2	1	2/1
ENSG00000006116	ENSG00000166862	5.47e-132	175	84.571	148	27	3	2	3/2
ENSG00000004975	ENSG00000161202	0	131	91.603	120	11	2	3	2/3
ENSG00000004975	ENSG00000107404	0	131	81.679	107	24	2	1	2/1
ENSG00000006451	ENSG00000144118	1.07e-71	126	89.683	113	13	3	1	3/1
ENSG00000006451	ENSG00000144118	1.07e-71	126	89.683	113	13	3	2	3/2
ENSG00000010017	ENSG00000141084	2.65e-154	110	83.636	92	18	-2	-1	-2/-1
ENSG00000011478	ENSG00000138600	2.61e-83	106	81.132	86	20	2	3	2/3
ENSG00000006059	ENSG00000131738	0	386	93.264	360	26	1	3	1/3
ENSG00000006059	ENSG00000094796	0	373	93.834	350	23	1	3	1/3
ENSG00000015568	ENSG00000183054	0	946	100	946	0	-3	-2	-3/-2
ENSG00000015568	ENSG00000169629	0	946	99.683	943	3	-3	-2	-3/-2
ENSG00000050327	ENSG00000213214	0	389	99.486	387	2	2	3	2/3
ENSG00000037965	ENSG00000175879	6.45e-76	101	83.168	84	17	3	2	3/2
ENSG00000059804	ENSG00000173262	0	523	92.352	483	40	1	2	1/2
ENSG00000059804	ENSG00000173262	0	523	92.352	483	40	1	2	1/2
ENSG00000019549	ENSG00000124216	4.92e-73	113	85.841	97	16	3	2	3/2
ENSG00000088256	ENSG00000156052	0	360	90.278	325	35	3	2	3/2
ENSG00000088256	ENSG00000156049	0	356	81.742	291	65	3	2	3/2
ENSG00000170848	ENSG00000183668	0	446	90.135	402	44	1	2	1/2
ENSG00000069943	ENSG00000260916	3.26e-73	125	98.4	123	2	-1	2	-1/2
ENSG00000069943	ENSG00000260916	3.26e-73	125	98.4	123	2	-1	1	-1/1
ENSG00000186847	ENSG00000128422	0	312	89.423	279	33	1	3	1/3
ENSG00000186847	ENSG00000186832	0	312	88.141	275	37	1	3	1/3
ENSG00000071655	ENSG00000267059	1.73e-115	182	100	182	0	-1	-3	-1/-3
ENSG00000127663	ENSG00000107077	0	357	80.952	289	68	3	1	3/1
ENSG00000112852	ENSG00000120327	0	124	95.161	118	6	-2	-1	-2/-1
ENSG00000112852	ENSG00000272674	0	124	89.516	111	13	-2	-1	-2/-1
ENSG00000077080	ENSG00000136518	0	363	87.328	317	46	3	1	3/1
ENSG00000077080	ENSG00000136518	0	363	87.328	317	46	3	1	3/1
ENSG00000073598	ENSG00000073536	5.54e-140	151	99.338	150	1	2	-3	2/-3
ENSG00000068976	ENSG00000100994	0	833	84.154	701	132	1	3	1/3
ENSG00000068971	ENSG00000154001	0	283	81.625	231	52	2	3	2/3
ENSG00000068971	ENSG00000154001	0	283	81.625	231	52	2	1	2/1
ENSG00000087303	ENSG00000087302	0	236	98.729	233	3	3	-1	3/-1
ENSG00000100030	ENSG00000102882	0	346	88.15	305	41	1	2	1/2
ENSG00000083812	ENSG00000249471	0	516	90.891	469	47	2	3	2/3
ENSG00000100345	ENSG00000133026	0	700	83.286	583	117	1	2	1/2
ENSG00000099800	ENSG00000178297	1.83e-55	105	100	105	0	-2	2	-2/2
ENSG00000243811	ENSG00000128394	0	246	88.211	217	29	3	1	3/1
ENSG00000243811	ENSG00000244509	3.73e-152	119	82.353	98	21	2	1	2/1
ENSG00000100836	ENSG00000258643	7.71e-108	195	100	195	0	2	1	2/1
ENSG00000100836	ENSG00000258643	7.71e-108	195	100	195	0	2	1	2/1
ENSG00000090581	ENSG00000059145	0	302	100	302	0	2	-2	2/-2
ENSG00000090581	ENSG00000059145	6.02e-178	302	100	302	0	3	-3	3/-3
ENSG00000100314	ENSG00000100319	5.88e-83	139	97.122	135	4	-1	1	-1/1
ENSG00000101210	ENSG00000156508	0	226	82.301	186	40	-2	-3	-2/-3
ENSG00000101405	ENSG00000101200	2.33e-54	107	80.374	86	21	-2	-1	-2/-1
ENSG00000100412	ENSG00000100413	0	171	100	171	0	-2	2	-2/2
ENSG00000100412	ENSG00000100413	0	171	100	171	0	-2	3	-2/3
ENSG00000187758	ENSG00000248144	0	494	90.486	447	47	1	2	1/2
ENSG00000187758	ENSG00000196616	0	446	90.583	404	42	1	3	1/3
ENSG00000086232	ENSG00000106305	7.52e-106	178	100	178	0	2	-1	2/-1
ENSG00000089723	ENSG00000089737	1.24e-149	213	100	213	0	-2	3	-2/3
ENSG00000089723	ENSG00000089737	4.07e-132	213	100	213	0	1	-1	1/-1
ENSG00000095917	ENSG00000172236	0	282	85.106	240	42	2	1	2/1
ENSG00000099974	ENSG00000099977	4.27e-61	104	96.154	100	4	-3	-2	-3/-2
ENSG00000099974	ENSG00000099977	4.27e-61	104	96.154	100	4	-3	-2	-3/-2
ENSG00000100485	ENSG00000115904	0	181	80.11	145	36	3	1	3/1
ENSG00000100028	ENSG00000138867	9.27e-69	107	100	107	0	2	-3	2/-3
ENSG00000100028	ENSG00000138867	7.91e-63	107	100	107	0	1	-2	1/-2
ENSG00000101292	ENSG00000169618	1.1e-152	241	84.232	203	38	-2	-3	-2/-3
ENSG00000100504	ENSG00000100994	0	697	80.775	563	134	1	3	1/3
ENSG00000087510	ENSG00000008196	1.27e-116	126	85.714	108	18	1	2	1/2
ENSG00000087510	ENSG00000137203	1.09e-107	144	80.556	116	28	1	3	1/3
ENSG00000101162	ENSG00000124172	0	395	100	395	0	-3	2	-3/2
ENSG00000101162	ENSG00000137285	0	433	80.6	349	84	3	1	3/1
ENSG00000099804	ENSG00000107341	8.22e-122	198	86.869	172	26	2	3	2/3
ENSG00000086548	ENSG00000105388	3.76e-175	159	83.648	133	26	-3	-2	-3/-2
ENSG00000086548	ENSG00000105388	4.44e-175	159	83.648	133	26	-3	-2	-3/-2
ENSG00000100450	ENSG00000100453	4.38e-108	129	86.047	111	18	1	3	1/3
ENSG00000092607	ENSG00000112837	7.75e-157	234	85.47	200	34	1	3	1/3
ENSG00000100490	ENSG00000125375	2.67e-175	258	99.225	256	2	1	-2	1/-2
ENSG00000100994	ENSG00000068976	0	697	83.07	579	118	3	1	3/1
ENSG00000100453	ENSG00000100450	7.72e-110	152	84.211	128	24	3	1	3/1
ENSG00000083720	ENSG00000198754	0	221	80.543	178	43	3	1	3/1
ENSG00000100564	ENSG00000054690	3.88e-65	100	100	100	0	2	-3	2/-3
ENSG00000100564	ENSG00000054690	1.5e-61	100	100	100	0	3	-1	3/-1
ENSG00000100564	ENSG00000054690	2.06e-61	100	100	100	0	-1	3	-1/3
ENSG00000100564	ENSG00000054690	1.01e-60	100	100	100	0	-2	1	-2/1
ENSG00000100564	ENSG00000054690	3.59e-60	100	100	100	0	1	-2	1/-2
ENSG00000100564	ENSG00000054690	9.3e-56	100	100	100	0	-3	2	-3/2
ENSG00000090060	ENSG00000218823	0	527	82.922	437	90	-2	-3	-2/-3
ENSG00000088356	ENSG00000131044	2.98e-133	207	100	207	0	-1	1	-1/1
ENSG00000100104	ENSG00000100109	0	338	91.124	308	30	-1	2	-1/2
ENSG00000100104	ENSG00000100109	0	338	91.124	308	30	-1	3	-1/3
ENSG00000197208	ENSG00000197375	0	322	86.025	277	45	1	3	1/3
ENSG00000108773	ENSG00000114166	0	239	83.682	200	39	1	3	1/3
ENSG00000103021	ENSG00000103023	1.22e-173	254	100	254	0	3	-2	3/-2
ENSG00000039123	ENSG00000067113	1.23e-100	160	100	160	0	1	-2	1/-2
ENSG00000039123	ENSG00000067113	6.0100000000000005e-100	160	100	160	0	-2	2	-2/2
ENSG00000039123	ENSG00000067113	5.55e-99	160	100	160	0	-3	3	-3/3
ENSG00000111664	ENSG00000078369	0	341	83.284	284	57	1	3	1/3
ENSG00000111664	ENSG00000078369	0	341	83.284	284	57	1	3	1/3
ENSG00000105258	ENSG00000105254	1.7e-77	120	100	120	0	-1	1	-1/1
ENSG00000105258	ENSG00000105254	7.7e-76	120	100	120	0	2	-1	2/-1
ENSG00000105254	ENSG00000105258	3.44e-79	120	100	120	0	2	-2	2/-2
ENSG00000105254	ENSG00000105258	2.94e-77	120	100	120	0	1	-1	1/-1
ENSG00000105254	ENSG00000105258	1.33e-75	120	100	120	0	-1	2	-1/2
ENSG00000114784	ENSG00000173812	1.19e-59	116	92.241	107	9	1	3	1/3
ENSG00000104848	ENSG00000111262	1.66e-145	149	85.235	127	22	3	1	3/1
ENSG00000109061	ENSG00000264424	0	630	95.873	604	26	3	1	3/1
ENSG00000105649	ENSG00000152932	1.68e-123	194	88.66	172	22	3	2	3/2
ENSG00000105649	ENSG00000169213	9.63e-114	196	82.653	162	34	3	1	3/1
ENSG00000104695	ENSG00000113575	0	310	97.419	302	8	2	3	2/3
ENSG00000108417	ENSG00000171360	0	252	87.302	220	32	-1	-2	-1/-2
ENSG00000113211	ENSG00000113209	0	299	83.612	250	49	-2	-1	-2/-1
ENSG00000114853	ENSG00000198740	0	260	91.538	238	22	3	2	3/2
ENSG00000114853	ENSG00000198740	0	260	91.538	238	22	3	2	3/2
ENSG00000197417	ENSG00000262304	0	844	100	844	0	2	1	2/1
ENSG00000111245	ENSG00000106436	5.44e-80	137	81.752	112	25	1	2	1/2
ENSG00000111786	ENSG00000257218	3.17e-64	102	100	102	0	2	-1	2/-1
ENSG00000104964	ENSG00000106829	7.26e-57	108	84.259	91	17	1	3	1/3
ENSG00000125149	ENSG00000237172	2.51e-102	145	100	145	0	1	-1	1/-1
ENSG00000125149	ENSG00000237172	7.62e-100	145	100	145	0	-1	2	-1/2
ENSG00000108590	ENSG00000129235	0	408	100	408	0	3	-2	3/-2
ENSG00000107018	ENSG00000107014	5.52e-139	260	83.462	217	43	-3	-2	-3/-2
ENSG00000106588	ENSG00000256646	6.04e-162	261	99.617	260	1	-2	-1	-2/-1
ENSG00000108684	ENSG00000110881	0	160	85	136	24	1	2	1/2
ENSG00000105516	ENSG00000063176	1.52e-87	125	100	125	0	2	-1	2/-1
ENSG00000105516	ENSG00000063176	2.44e-81	125	100	125	0	-1	1	-1/1
ENSG00000105516	ENSG00000063176	2.64e-70	125	100	125	0	-2	2	-2/2
ENSG00000105516	ENSG00000063176	2.09e-55	125	100	125	0	3	-2	3/-2
ENSG00000105516	ENSG00000063176	2.44e-81	125	100	125	0	-1	1	-1/1
ENSG00000105516	ENSG00000063176	2.64e-70	125	100	125	0	-2	2	-2/2
ENSG00000105516	ENSG00000063176	2.09e-55	125	100	125	0	3	-1	3/-1
ENSG00000111615	ENSG00000139278	0	379	99.736	378	1	-2	2	-2/2
ENSG00000113205	ENSG00000272674	0	130	87.692	114	16	-2	-1	-2/-1
ENSG00000112855	ENSG00000170445	3.47e-64	117	96.581	113	4	2	-1	2/-1
ENSG00000078967	ENSG00000131508	5.68e-96	149	92.617	138	11	3	1	3/1
ENSG00000186115	ENSG00000186529	0	694	93.372	648	46	1	2	1/2
ENSG00000186115	ENSG00000186529	0	694	93.372	648	46	1	3	1/3
ENSG00000106258	ENSG00000160868	0	442	83.032	367	75	-2	-3	-2/-3
ENSG00000106258	ENSG00000282301	0	422	81.754	345	77	2	1	2/1
ENSG00000105953	ENSG00000197444	0	706	83.711	591	115	1	3	1/3
ENSG00000105664	ENSG00000113296	0	271	87.823	238	33	1	2	1/2
ENSG00000105664	ENSG00000113296	0	271	87.823	238	33	1	2	1/2
ENSG00000103064	ENSG00000103061	0	977	100	977	0	-3	2	-3/2
ENSG00000016082	ENSG00000159556	0	188	81.383	153	35	3	2	3/2
ENSG00000114349	ENSG00000134183	0	326	83.129	271	55	1	2	1/2
ENSG00000104835	ENSG00000128626	4.58e-74	116	100	116	0	2	-2	2/-2
ENSG00000104835	ENSG00000128626	6.29e-74	116	100	116	0	-2	1	-2/1
ENSG00000113212	ENSG00000120324	0	106	90.566	96	10	-3	-1	-3/-1
ENSG00000112309	ENSG00000112305	0	519	100	519	0	3	-1	3/-1
ENSG00000112309	ENSG00000112305	0	519	100	519	0	3	-2	3/-2
ENSG00000104863	ENSG00000148943	2.56e-101	204	82.353	168	36	3	1	3/1
ENSG00000103121	ENSG00000136213	7.16e-132	101	84.158	85	16	-3	-2	-3/-2
