query	subject	evalue	alnlength	identity	identical	mismatches	qframe	sframe
ENSG00000005073	ENSG00000128713	3.68e-71	86	81.395	70	16	1	2
ENSG00000128713	ENSG00000005073	5.86e-68	77	89.61	69	8	2	1
ENSG00000006451	ENSG00000144118	1.07e-71	126	89.683	113	13	3	1
ENSG00000144118	ENSG00000006451	1.34e-69	126	89.683	113	13	1	3
ENSG00000004975	ENSG00000161202	0	131	91.603	120	11	2	3
ENSG00000161202	ENSG00000004975	0	131	91.603	120	11	3	2
ENSG00000006116	ENSG00000166862	5.47e-132	175	84.571	148	27	3	2
ENSG00000166862	ENSG00000006116	9.66e-130	167	86.228	144	23	2	3
ENSG00000010017	ENSG00000141084	2.65e-154	110	83.636	92	18	-2	-1
ENSG00000141084	ENSG00000010017	3.07e-54	68	89.706	61	7	-1	-2
ENSG00000015568	ENSG00000183054	0	946	100	946	0	-3	-2
ENSG00000183054	ENSG00000015568	0	946	100	946	0	-2	-3
ENSG00000088256	ENSG00000156052	0	360	90.278	325	35	3	2
ENSG00000156052	ENSG00000088256	0	315	91.111	287	28	2	3
ENSG00000050327	ENSG00000213214	0	389	99.486	387	2	2	3
ENSG00000213214	ENSG00000050327	0	389	99.486	387	2	3	2
ENSG00000019549	ENSG00000124216	4.92e-73	113	85.841	97	16	3	2
ENSG00000124216	ENSG00000019549	1.92e-75	113	85.841	97	16	2	3
ENSG00000186847	ENSG00000128422	0	312	89.423	279	33	1	3
ENSG00000128422	ENSG00000186847	0	320	88.75	284	36	3	1
ENSG00000068976	ENSG00000100994	0	833	84.154	701	132	1	3
ENSG00000100994	ENSG00000068976	0	697	83.07	579	118	3	1
ENSG00000083720	ENSG00000198754	0	221	80.543	178	43	3	1
ENSG00000198754	ENSG00000083720	0	218	81.193	177	41	1	3
ENSG00000197208	ENSG00000197375	0	322	86.025	277	45	1	3
ENSG00000197375	ENSG00000197208	0	322	86.025	277	45	3	1
ENSG00000100490	ENSG00000125375	2.67e-175	258	99.225	256	2	1	-2
ENSG00000125375	ENSG00000100490	0	260	100	260	0	2	-1
ENSG00000101162	ENSG00000124172	0	395	100	395	0	-3	2
ENSG00000124172	ENSG00000101162	0	395	100	395	0	-2	3
ENSG00000124172	ENSG00000101162	0	395	100	395	0	2	-3
ENSG00000099804	ENSG00000107341	8.22e-122	198	86.869	172	26	2	3
ENSG00000107341	ENSG00000099804	5.82e-120	196	86.735	170	26	3	2
ENSG00000083812	ENSG00000249471	0	516	90.891	469	47	2	3
ENSG00000249471	ENSG00000083812	0	333	93.093	310	23	3	2
ENSG00000183741	ENSG00000141570	2.85e-40	79	86.076	68	11	3	2
ENSG00000141570	ENSG00000183741	8.94e-38	50	88	44	6	2	3
ENSG00000095917	ENSG00000172236	0	282	85.106	240	42	2	1
ENSG00000172236	ENSG00000095917	0	294	85.374	251	43	1	2
ENSG00000099974	ENSG00000099977	4.27e-61	104	96.154	100	4	-3	-2
ENSG00000099977	ENSG00000099974	1.61e-61	104	96.154	100	4	-2	-3
ENSG00000100450	ENSG00000100453	4.38e-108	129	86.047	111	18	1	3
ENSG00000100453	ENSG00000100450	7.72e-110	152	84.211	128	24	3	1
ENSG00000100564	ENSG00000054690	3.88e-65	100	100	100	0	2	-3
ENSG00000100564	ENSG00000054690	1.5e-61	100	100	100	0	3	-1
ENSG00000100564	ENSG00000054690	2.06e-61	100	100	100	0	-1	3
ENSG00000100564	ENSG00000054690	1.01e-60	100	100	100	0	-2	1
ENSG00000100564	ENSG00000054690	3.59e-60	100	100	100	0	1	-2
ENSG00000100564	ENSG00000054690	9.3e-56	100	100	100	0	-3	2
ENSG00000054690	ENSG00000100564	1.96e-64	100	100	100	0	-3	2
ENSG00000054690	ENSG00000100564	4.7e-55	100	100	100	0	2	-3
ENSG00000054690	ENSG00000100564	7.56e-61	100	100	100	0	-1	3
ENSG00000054690	ENSG00000100564	1.04e-60	100	100	100	0	3	-1
ENSG00000054690	ENSG00000100564	5.09e-60	100	100	100	0	1	-2
ENSG00000054690	ENSG00000100564	1.81e-59	100	100	100	0	-2	1
ENSG00000100314	ENSG00000100319	5.87e-83	139	97.122	135	4	-1	1
ENSG00000100319	ENSG00000100314	1.42e-83	139	97.122	135	4	1	-1
ENSG00000100554	ENSG00000134001	1.7e-51	84	100	84	0	1	-3
ENSG00000100554	ENSG00000134001	9e-48	84	100	84	0	2	-1
ENSG00000100554	ENSG00000134001	1.14e-46	84	100	84	0	-1	2
ENSG00000134001	ENSG00000100554	4.34e-51	84	100	84	0	-3	1
ENSG00000134001	ENSG00000100554	7.57e-50	84	100	84	0	1	-3
ENSG00000134001	ENSG00000100554	2.3e-47	84	100	84	0	-1	2
ENSG00000134001	ENSG00000100554	2.92e-46	84	100	84	0	2	-1
ENSG00000101405	ENSG00000101200	2.33e-54	107	80.374	86	21	-2	-1
ENSG00000101200	ENSG00000101405	2.95e-54	107	80.374	86	21	-1	-2
ENSG00000100528	ENSG00000143786	3.92e-49	51	82.353	42	9	3	1
ENSG00000143786	ENSG00000100528	4.79e-58	51	82.353	42	9	1	3
