query	subject	evalue	alnlength	identity	identical	mismatches	qframe	sframe
CCDS27.1|Hs108|chr1	CCDS28.2|Hs108|chr1	7.55e-25	56	80.357	45	11	2	3
CCDS33.1|Hs108|chr1	CCDS44041.1|Hs108|chr1	1.88e-123	53	92.453	49	4	-2	-3
CCDS38.2|Hs108|chr1	CCDS57965.1|Hs108|chr1	2.3e-68	106	90.566	96	10	-3	-1
CCDS131.1|Hs108|chr1	CCDS132.1|Hs108|chr1	2.97e-120	94	100	94	0	-3	-1
CCDS132.1|Hs108|chr1	CCDS81261.1|Hs108|chr1	3.1e-164	125	100	125	0	1	2
CCDS132.1|Hs108|chr1	CCDS81261.1|Hs108|chr1	2.96e-142	125	100	125	0	-1	-3
CCDS132.1|Hs108|chr1	CCDS81261.1|Hs108|chr1	1.16e-109	125	100	125	0	-2	-1
CCDS132.1|Hs108|chr1	CCDS131.1|Hs108|chr1	3.49e-120	94	100	94	0	-1	-3
CCDS136.1|Hs108|chr1	CCDS44056.1|Hs108|chr1	1.45e-72	96	98.958	95	1	1	2
CCDS471.1|Hs108|chr1	CCDS53306.1|Hs108|chr1	1.72e-93	66	83.333	55	11	-3	-1
CCDS574.1|Hs108|chr1	CCDS72796.1|Hs108|chr1	0	51	100	51	0	-1	-3
CCDS716.1|Hs108|chr1	CCDS55510.1|Hs108|chrX	5.42e-83	102	96.078	98	4	2	1
CCDS797.1|Hs108|chr1	CCDS30791.1|Hs108|chr1	0	80	100	80	0	-1	-3
CCDS856.1|Hs108|chr1	CCDS30806.1|Hs108|chr1	5.05e-79	51	92.157	47	4	1	3
CCDS1055.1|Hs108|chr1	CCDS72920.1|Hs108|chr1	2.35e-48	59	93.22	55	4	-1	-3
CCDS1085.1|Hs108|chr1	CCDS58032.1|Hs108|chr1	0	62	100	62	0	2	1
CCDS1085.1|Hs108|chr1	CCDS58032.1|Hs108|chr1	0	62	100	62	0	-3	-1
CCDS1086.1|Hs108|chr1	CCDS58032.1|Hs108|chr1	0	53	83.019	44	9	2	1
CCDS1087.1|Hs108|chr1	CCDS58032.1|Hs108|chr1	5.07e-23	53	83.019	44	9	2	1
CCDS1093.1|Hs108|chr1	CCDS44239.1|Hs108|chr1	8.64e-21	52	80.769	42	10	-3	-2
CCDS1134.1|Hs108|chr1	CCDS55650.1|Hs108|chr1	3.88e-33	57	98.246	56	1	1	2
CCDS1134.1|Hs108|chr1	CCDS55651.1|Hs108|chr1	1.01e-32	56	98.214	55	1	-1	-3
CCDS1135.1|Hs108|chr1	CCDS72946.1|Hs108|chr1	0	71	98.592	70	1	1	3
CCDS1135.1|Hs108|chr1	CCDS1136.1|Hs108|chr1	1.24e-102	95	97.895	93	2	-2	-1
CCDS1136.1|Hs108|chr1	CCDS1135.1|Hs108|chr1	7.08e-99	98	95.918	94	4	-1	-2
CCDS1154.1|Hs108|chr1	CCDS44246.1|Hs108|chr1	6.93e-176	67	98.507	66	1	3	1
CCDS1207.1|Hs108|chr1	CCDS81389.1|Hs108|chr1	0	72	94.444	68	4	1	3
CCDS1708.1|Hs108|chr2	CCDS56112.1|Hs108|chr2	1.48e-137	57	82.456	47	10	-3	-2
CCDS1744.1|Hs108|chr2	CCDS77397.1|Hs108|chr2	1.74e-48	65	100	65	0	3	2
CCDS2117.1|Hs108|chr2	CCDS34975.1|Hs108|chr9	2.67e-124	134	88.806	119	15	2	1
CCDS2117.1|Hs108|chr2	CCDS43833.1|Hs108|chr9	1.42e-87	85	80	68	17	-1	-2
CCDS2162.1|Hs108|chr2	CCDS74574.1|Hs108|chr2	8.6e-108	63	100	63	0	-2	-3
CCDS2244.1|Hs108|chr2	CCDS46449.1|Hs108|chr2	1.66e-52	95	98.947	94	1	-3	-2
CCDS2589.1|Hs108|chr3	CCDS54552.1|Hs108|chr3	0	77	100	77	0	2	3
CCDS2689.1|Hs108|chr3	CCDS68391.1|Hs108|chr3	0	67	100	67	0	1	3
CCDS2689.1|Hs108|chr3	CCDS68391.1|Hs108|chr3	1.95e-19	67	100	67	0	3	2
CCDS2763.1|Hs108|chr3	CCDS77733.1|Hs108|chr3	8.77e-110	101	99.01	100	1	-3	-1
CCDS2783.1|Hs108|chr3	CCDS63632.1|Hs108|chr3	0	76	98.684	75	1	-2	-1
CCDS2852.1|Hs108|chr3	CCDS46841.1|Hs108|chr3	6.22e-117	60	98.333	59	1	1	2
CCDS2950.1|Hs108|chr3	CCDS63712.1|Hs108|chr3	0	179	100	179	0	-1	-2
CCDS3042.1|Hs108|chr3	CCDS46899.1|Hs108|chr3	0	91	100	91	0	-1	-3
CCDS3042.1|Hs108|chr3	CCDS46899.1|Hs108|chr3	1.09e-169	91	100	91	0	1	2
CCDS3069.1|Hs108|chr3	CCDS54639.1|Hs108|chr3	0	60	100	60	0	-3	-1
